,target_name,query
0,1A1,cp1a1_human
1,1A2,cp1a2_human
2,1B1,cp1b1_human
3,2A6,cp2a6_human
4,2A7,cp2a7_human
5,2A13,cp2ad_human
6,2B6,cp2b6_human
7,2C8,cp2c8_human
8,2C9,cp2c9_human
9,2C18,cp2ci_human
10,2C19,cp2cj_human
11,2D6,cp2d6_human
12,2E1,cp2e1_human
13,2F1,cp2f1_human
14,2J2,cp2j2_human
15,2R1,cp2r1_human
16,2S1,cp2s1_human
17,2U1,cp2u1_human
18,2W1,cp2w1_human
19,3A4,cp3a4_human
20,3A43,cp343_human
21,3A5,cp3a5_human
22,3A7,cp3a7_human
23,4A11,cp4ab_human
24,4A20,cp4z1_human
25,4A22,q5tch4_human
26,4B1,cp4b1_human
27,4F11,cp4fb_human
28,4F12,cp4fc_human
29,4F2,cp4f2_human
30,4F22,cp4fn_human
31,4F3,cp4f3_human
32,4F8,cp4f8_human
33,4V2,cp4v2_human
34,4X1,cp4x1_human
35,5A1,thas_human
36,7A1,cp7a1_human
37,7B1,cp7b1_human
38,8A1,ptgis_human
39,8B1,cp8b1_human
40,11A1,cp11a_human
41,11B1,c11b1_human
42,11B2,c11b2_human
43,17A,cp17a_human
44,19A,cp19a_human
45,20A,cp20a_human
46,21A,cp21a_human
47,24A,cp24a_human
48,26A,cp26a_human
49,26B,cp26b_human
50,26C,cp26c_human
51,27A,cp27a_human
52,27B,cp27b_human
53,27C,c27c1_human
54,39A,cp39a_human
55,46A,cp46a_human
56,51A,cp51a_human
57,ACAT,thic_human
58,GST,q5szc1_human
59,MET,tpmt_human
60,NAT,nat10_human
61,SUL,st1a1_human
62,UGT,ud11_human
63,Arachidonic acid epoxygenase,cp2j2_human
64,"Aldosterone synthase, ALDOS, Aldosterone-synthesizing enzyme, Steroid 18-hydroxylase",c11b2_human
65,"Aromatase, Estrogen synthetase",cp19a_human
66,Acetyl-CoA-acetyltransferase,thic_human
67,ATP-binding cassette sub-family G member 2,ABCG2_HUMAN
68,ATP-binding cassette transporter sub-family C member 11,ABCCB_HUMAN
69,ATP-binding cassette sub-family A member 3,ABCA3_HUMAN
70,Bile salt export pump,ABCBB_HUMAN
71,Coumarin 7-hydroxylase,cp2a6_human
72,CP2AD,cp2ad_human
