SMILES,name,logPerm*,TPSA,Table 4. Structures and data for DS5
O=C([O-])c1ccccc1O,salycilate,-4.924,60.36,
CC(=O)Oc1ccccc1C(=O)[O-],acetylsalicylate,-5.62,66.43,
OCC(O)C(O)C(O)C(O)CO,mannitol,-6.745,121.37,
CC( C )( C )NCC(O)c1cc(O)cc(O)c1,terbutaline,-6.42,72.71,
C=CCc1cccc1OCC(O)CNC( C )C,alprenolol,-4.393,41.49,
CC( C )NCC(O)COc1cccc2ccccc12,propanolol,-4.378,41.49,
CC(=O)Nc1ccc(OCC(O)CNC( C )C)cc1,practolol,-6.046,70.58,
CC( C )NCC(O)COc1ccc(CC(N)=O)cc1,atenolol,-6.7,84.58,
COCCc1ccc(OCC(O)CNC( C )C)cc1,metoprolol,-4.569,50.72,
CC12CCC(=O)C=C1CCC3C2CCC4( C )C(O)CCC34,testosterone,-4.286,37.3,
O=C(O)c2cc(N=Nc1ccc(O)c(C(=O)O)c1)ccc2O,olsalazine,-6.959,139.78,
CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O,warfarin,-4.417,67.51,
CC14CCC(=O)C=C1CCC3C2CCC(C(=O)CO)C2( C )CC(O)C34,corticosterone,-4.263,74.6,
CC14CCC(=O)C=C1CCC3C2CCC(O)(C(=O)CO)C2( C )CC(O)C34,hydrocortisone,-4.668,94.83,
CCOC(=O)C1=C( C )NC( C )=C(C(=O)OC)C1c2cccc(C1)c2C1,felodipine,-4.644,64.64,
CC4CC3C2CCC1=CC(=O)C=CC1( C )C2(F)C(O)CC3( C )C4(O)C(=O)CO,dexomethazone,-4.903,94.83,
O=C(O)c3cc(N=Nc2ccc(S(=O)(=O)Nc1ccccn1)cc2)ccc3O,sulphasazaline,-6.886,141.32,
,,,,*permeability[cm/s]through Caco-2 monolayers
,,,,
,,,,
,,,,
SMILES,name,logBB*,TPSA,Table 5. Structures and data for DS16
CNC(=NC#N)NCCSCc1nc[nH]c1C,1,-1.42,88.89,
Cc1csc(N=C(N)N)n1,2,-0.04,77.3,
COc1cccnc1CCCCNc3nc(=O)c(Cc2ccc( C )nc2)c[nH]3,3,-2,92.8,
CN( C )Cc4ccc(CSCCNc3nc(=O)c(Cc2ccc1ccccc1c2)c[nH]3)o4,4,-1.3,74.16,
Cc3ccc(Cc2c[nH]c(NCCSCc1ccc(CN( C )C)o1)nc2=O)cn3,5,-1.06,87.05,
Clc1cccc(Cl)c1NC2=NCCN2,6,0.11,36.42,
COc2ccc(CN(CCN( C )C)c1ccccn1)cc2,7,0.49,28.6,
CN( C )CCCN3c1ccccc1CCc2cccc23,8,0.83,6.48,
CNC(=CN(=O)=O)NCCSCc1ccc(CN( C )C)o1,9,-1.23,86.26,
CNC(=CC#N)NCCSCc1csc(N=C(N)N)n1,10,-0.82,125.15,
CN( C )c2cc(c1n[nH]c(N)n1)ccn2,11,-1.17,83.73,
CCNC(=NC#N)NCCSCc1ncccc1Br,12,-2.15,73.1,
O=N(=O)c1cc[nH]c1NCCSCc2ncccc2Br,13,-0.67,86.53,
