CMPD_CHEMBLID,COMPOUND_KEY,MOLWEIGHT,ALOGP,PSA,CANONICAL_SMILES,Km,Vmax,pKm
CHEMBL300797,L-tyrosine methyl ester,195.22,0.43,72.55,COC(=O)[C@@H](N)Cc1ccc(O)cc1,4000000.0,350.0,-15.201804919084164
CHEMBL1288,1-Naphthalenemethanol,158.2,2.33,20.23,OCc1cccc2ccccc12,30000.0,26.0,-10.308952660644293
CHEMBL14060,Phenol,94.11,1.39,20.23,Oc1ccccc1,19000.0,350.0,-9.852194258148577
CHEMBL14126,2-naphthol,144.17,2.55,20.23,Oc1ccc2ccccc2c1,8000.0,1130.0,-8.987196820661973
CHEMBL3085280,4-ethylbenzyl alcohol,488.55,0.27,163.53,N[C@@H](C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)CSc3c[nH]nn3)c4ccc5OCCc5c4,60000.0,182.0,-11.002099841204238
CHEMBL112,N-(4-Hydroxy-phenyl)-acetamide,151.16,1.35,49.33,CC(=O)Nc1ccc(O)cc1,92000.0,181.0,-11.429543856031177
CHEMBL73380,4-biphenylmethanol,170.21,3.06,20.23,Oc1ccc(cc1)c2ccccc2,91000.0,212.0,-11.418614785498987
CHEMBL35297,4-Propyl-phenol,136.19,2.34,20.23,CCCc1ccc(O)cc1,6000.0,427.0,-8.699514748210191
CHEMBL149740,(1S)-1-Phenyl-1-hexanol,178.28,3.3,20.23,CCCCC[C@H](O)c1ccccc1,7000.0,2.1,-8.85366542803745
CHEMBL149752,4-Heptyl-phenol,192.3,3.91,20.23,CCCCCCCc1ccc(O)cc1,61000.0,132.0,-11.018629143155449
CHEMBL149802,4-(-1adamantyl)phenol,228.34,3.86,20.23,Oc1ccc(cc1)C23C[C@@H]4C[C@@H](C[C@@H](C4)C2)C3,1000.0,47.2,-6.907755278982137
CHEMBL150411,N-Methyl-N-phenyl-hydroxylamine,123.15,1.51,23.47,CN(O)c1ccccc1,119000.0,85.0,-11.686878772093667
CHEMBL150445,2-Naphthalenemethanol,158.2,2.33,20.23,OCc1ccc2ccccc2c1,26000.0,77.6,-10.165851817003619
CHEMBL150465,N-(4-Chloro-phenyl)-hydroxylamine,143.57,2.14,32.26,ONc1ccc(Cl)cc1,26000.0,35.0,-10.165851817003619
CHEMBL150596,4-heptlybenzyl alcohol,206.33,3.69,20.23,CCCCCCCc1ccc(CO)cc1,410000.0,133.0,-12.92391243868049
CHEMBL150597,4-hexylbenzyl alcohol,192.3,3.3,20.23,CCCCCCc1ccc(CO)cc1,30000.0,96.7,-10.308952660644293
CHEMBL150824,2-Chloro-4-nitro-phenol,173.55,1.95,63.37,Oc1ccc(cc1Cl)[N+](=O)[O-],5000.0,28.0,-8.517193191416238
CHEMBL150956,(1S)-1-Phenyl-1-pentanol,164.25,2.91,20.23,CCCC[C@H](O)c1ccccc1,10000.0,30.5,-9.210340371976184
CHEMBL151062,(1R)-1-Phenyl-ethanol,122.17,1.74,20.23,C[C@@H](O)c1ccccc1,1730000.0,20.6,-14.363631966473962
CHEMBL152295,4-Butyl-phenol,150.22,2.73,20.23,CCCCc1ccc(O)cc1,5000.0,296.0,-8.517193191416238
CHEMBL153062,4-Nonyl-phenol,220.36,4.69,20.23,CCCCCCCCCc1ccc(O)cc1,109000.0,91.0,-11.59910316121128
CHEMBL153388,4-pentyl phenol,164.25,3.12,20.23,CCCCCc1ccc(O)cc1,9000.0,208.0,-9.104979856318357
CHEMBL153491,2-Bromo-N-(4-hydroxy-phenyl)-acetamide,230.06,1.73,49.33,Oc1ccc(NC(=O)CBr)cc1,22000.0,95.0,-9.998797732340453
CHEMBL153580,4-notrobenzyl alcohol,153.14,1.09,63.37,OCc1ccc(cc1)[N+](=O)[O-],199000.0,20.6,-12.201060103706629
CHEMBL153691,N-Ethyl-N-phenyl-hydroxylamine,137.18,1.9,23.47,CCN(O)c1ccccc1,650000.0,273.0,-13.38472764187182
CHEMBL153721,(1S)-1-Phenyl-1-heptanol,192.3,3.69,20.23,CCCCCC[C@H](O)c1ccccc1,20000.0,5.2,-9.903487552536127
CHEMBL153777,4-propylbenzyl alcohol,150.22,2.13,20.23,CCCc1ccc(CO)cc1,40000.0,178.0,-10.596634733096073
CHEMBL155164,4-pentylbenzyl alcohol,178.27,2.91,20.23,CCCCCc1ccc(CO)cc1,20000.0,109.0,-9.903487552536127
CHEMBL155221,4-butylbenzyl alcohol,164.25,2.52,20.23,CCCCc1ccc(CO)cc1,30000.0,130.0,-10.308952660644293
CHEMBL155625,3-indolemethanol,147.18,1.66,36.02,OCc1c[nH]c2ccccc12,29000.0,33.2,-10.275051108968611
CHEMBL108475,4-ethyl phenol,122.17,1.95,20.23,CCc1ccc(O)cc1,10000.0,410.0,-9.210340371976184
CHEMBL440914,3-furanmethanol,98.1,0.77,33.37,OCc1cocc1,960000.0,10.2,-13.77468856344402
CHEMBL423961,(1S)-1phenyl-1-butanol,150.22,2.52,20.23,CCC[C@H](O)c1ccccc1,360000.0,8.5,-12.793859310432293
CHEMBL720,Benzyl alcohol,108.14,1.18,20.23,OCc1ccccc1,50000.0,30.5,-10.819778284410283
CHEMBL2110905,"(1R,2R) -2-Methylamino-1-phenyl-propanol",165.24,1.33,32.26,CN[C@H](C)[C@H](O)c1ccccc1,11000000.0,40.4,-16.213405830762646
CHEMBL345759,(1S)-1-Phenyl-1-propanol,136.19,2.13,20.23,CC[C@H](O)c1ccccc1,240000.0,9.9,-12.388394202324129
CHEMBL348446,(1S)-1-Phenyl-1-ethanol,122.17,1.74,20.23,C[C@H](O)c1ccccc1,250000.0,33.7,-12.429216196844383
CHEMBL357080,"-(1R,2S) -2-Methylamino-1-phenyl-propanol",165.24,1.33,32.26,CN[C@@H](C)C(O)c1ccccc1,6990000.0,22.5,-15.759991114209994
CHEMBL357301,-(1S)-2-Methyl-1-phenyl-propanol,150.22,2.38,20.23,CC(C)[C@H](O)c1ccccc1,1360000.0,6.1,-14.122995257712235
CHEMBL357784,"(1R)-1,2,3,4-tetrahydro-1-naphthol",148.21,2.06,20.23,OC1CCCc2ccccc12,30000.0,28.7,-10.308952660644293
CHEMBL358605,N-Phenyl-N-propyl-hydroxylamine,151.21,2.29,23.47,CCCN(O)c1ccccc1,161000.0,98.6,-11.9891596439666
CHEMBL16645,4-Methyl-phenol,108.14,1.7,20.23,Cc1ccc(O)cc1,10000.0,320.0,-9.210340371976184
CHEMBL90100,4-methylbenzyl alcohol,122.17,1.49,20.23,Cc1ccc(CO)cc1,600000.0,508.0,-13.304684934198283
CHEMBL320474,N-Phenyl-hydroxylamine,109.13,1.49,32.26,ONc1ccccc1,230000.0,43.0,-12.345834587905333
CHEMBL11185,14,255.25,0.68,99.6,CC1=CC(=O)Oc2cc(OS(=O)(=O)N)ccc12,,,
CHEMBL11473,16,309.22,1.39,99.6,NS(=O)(=O)Oc1ccc2C(=CC(=O)Oc2c1)C(F)(F)F,,,
CHEMBL122708,3,349.45,2.69,86.46,C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(=O)(=O)N)ccc34)[C@@H]1CCC2=O,,,
CHEMBL26036,8,227.28,1.15,69.39,NS(=O)(=O)Oc1ccc2CCCCc2c1,,,
CHEMBL1370,budenoside,430.54,2.72,93.06,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,,,
CHEMBL135,17-beta-Estradiol,272.39,3.61,40.46,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,4.0,16.0,-1.3862943611198906
CHEMBL253363,pregnenolone,316.49,4.52,37.3,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,
CHEMBL170043,6-hydroxymethylbenzo[a]pyrene,282.34,5.23,20.23,OCc1c2ccccc2c3ccc4cccc5ccc1c3c45,,,
CHEMBL1743299,1-hydroxymethylpyrene,232.28,4.08,20.23,OCc1ccc2ccc3cccc4ccc1c2c34,,,
CHEMBL122708,EMATE,349.45,2.69,86.46,C[C@]12CC[C@H]3[C@@H](CCc4cc(OS(=O)(=O)N)ccc34)[C@@H]1CCC2=O,,,
CHEMBL3527569,M25,450.45,3.35,128.04,C[C@H](COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C)OS(=O)(=O)O,,,
CHEMBL22077,hycanthone,356.49,3.66,52.57,CCN(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12,,,
CHEMBL377300,Brivanib,370.38,3.52,84.67,C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,,,
CHEMBL386630,testosterone,288.43,3.88,37.3,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,,,
