CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS,,,,,,,,,
CHEMBL300797	85566	CHEMBL300797	85566	TYROSINE METHYL ESTER	L-tyrosine methyl ester	195.22	.43	72.55	0	COC(=O)[C@@H](N)Cc1ccc(O)cc1	249845	Km	=	4000000	nM		Km	=	4	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL300797	85566	CHEMBL300797	85566	TYROSINE METHYL ESTER	L-tyrosine methyl ester	195.22	.43	72.55	0	COC(=O)[C@@H](N)Cc1ccc(O)cc1	249846	Vmax	=	350	nM min-1		Vmax	=	350	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL300797	85566	CHEMBL300797	85566	TYROSINE METHYL ESTER	L-tyrosine methyl ester	195.22	.43	72.55	0	COC(=O)[C@@H](N)Cc1ccc(O)cc1	249847	Ratio	=	3	-		Ratio	=	3				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL1288	253231	CHEMBL1288	253231	NAPHTHALEN-1-YL-METHANOL	1-Naphthalenemethanol	158.2	2.33	20.23	0	OCc1cccc2ccccc12	234938	Km	=	30000	nM		Km	=	.03	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL1288	253231	CHEMBL1288	253231	NAPHTHALEN-1-YL-METHANOL	1-Naphthalenemethanol	158.2	2.33	20.23	0	OCc1cccc2ccccc12	234939	Vmax	=	26	nM min-1		Vmax	=	26	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL1288	253231	CHEMBL1288	253231	NAPHTHALEN-1-YL-METHANOL	1-Naphthalenemethanol	158.2	2.33	20.23	0	OCc1cccc2ccccc12	234940	Ratio	=	29.4	-		Ratio	=	29.4				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL14060	13456	CHEMBL14060	13456	PHENOL	Phenol	94.11	1.39	20.23	0	Oc1ccccc1	229759	Km	=	19000	nM		Km	=	.019	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL14060	13456	CHEMBL14060	13456	PHENOL	Phenol	94.11	1.39	20.23	0	Oc1ccccc1	229760	Vmax	=	350	nM min-1		Vmax	=	350	nM min-1			0	BAO_0000586			36352	CHEMBL651159	B	Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL14060	13456	CHEMBL14060	13456	PHENOL	Phenol	94.11	1.39	20.23	0	Oc1ccccc1	229761	Ratio	=	625	-		Ratio	=	625				0	BAO_0000179			226734	CHEMBL846524	B	Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV	1	Scientific Literature				Expert	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
CHEMBL14126	13336	CHEMBL14126	13336	BETANAPHTHOL	2-naphthol	144.17	2.55	20.23	0	Oc1ccc2ccccc2c1	227335	Km	=	8000	nM		Km	=	.008	mM			0	BAO_0000477	UO_0000065	http://www.openphacts.org/units/Nanomolar	36351	CHEMBL651158	B	Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)	1	Scientific Literature				Intermediate	BAO_0000357	10115	CHEMBL4886	SINGLE PROTEIN	P17988	Aryl sulfotransferase	Rattus norvegicus	8	Homologous protein			16776	CHEMBL1135676	12459019	J. Med. Chem.	2002	45	25	5514					,,,,,,,,,
