Name,Structure,Class
2,NC(N)=NC=1[S]/C=C(/C)N=1,1
14,O=N(=O)C=1C=CNC=1NCC[S]CC=2C=CC=CN=2,1
15,CC=1C(C)=CC(=NC=1C)C(C)(C)[S]C(C)(C)CNC=2NC=CC=2N(=O)=O,1
16,NC(N)=N/C1=N/C(=C[S]1)C2=CC=CC=C2,1
24,O=C(C)NCCCOC=2C=C/C=C(/CN1CCCCC1)C=2,1
25,O=C(NCCCOC=2C=C/C=C(/CN1CCCCC1)C=2)C3=CC=CC=C3,1
26,OCCCOC=2C=C/C=C(/CN1CCCCC1)C=2,1
27,C1CN(CCC1)C/C2=C/C=CC(=C2)OCCCN/C3=N/C=CC=C3,1
28,C1CN(CCC1)C/C2=C/C=CC(=C2)OCCCN/C3=N/C=C[S]3,1
30,C1CN(CCC1)C/C2=C/C=CC(=C2)OCCCN/C4=N/C=3C=CC=CC=3O4,1
Jan-48,CCCN(CCC)CC/C2=C/C=C(/O)C=1NC(=C)CC=12,1
May-66,CNCCC=1C=CC=CN=1,1
May-67,CN(C)CCC=1C=CC=CN=1,1
May-68,NCCC=1[S]C=CN=1,1
May-69,[S]=C(N[C@@]1([H])CCCCC1)N2CC[C@@]([H])(CC2)C=3N=CNC=3,1
5/6/10,CNC(NCC[S]C/C1=C/[S]C(=N1)N=C(N)N)=NC#N,1
111-trichloroethane,CC([Cl])([Cl])[Cl],1
111-trifluoro-2-chloroethane,[Cl]CC([F])([F])[F],1
1-hydroxymidazolam,[F]C=1C=CC=CC=1/C4=N/CC2=C/N=C(/CO)N2C=3C=CC([Cl])=CC=34,1
22-dimethylbutane,CCC(C)(C)C,1
2-methylpentane,CC(C)([H])CCC,1
2-methylpropanol,CC(C)(O)C([F])([F])[F],1
2-propanol,CC(C)(O)[H],1
3-methylhexane,CCC[C@@](C)([H])CC,1
3-methylpentane,CCC(C)([H])CC,1
4-hydroxymidazolam,[F]C=1C=CC=CC=1/C4=N/[C@@](O)([H])C2=C/N=C(/C)N2C=3C=CC([Cl])=CC=34,1
7-K06,[Cl]/C4=C/C2=C(OC1=CC=CC=C1[C@@]3([H])CN(C)CC[C@@]23[H])C=C4,1
7-K08,[Cl]/C1=C/C(=CC(=N1)N3CCN(CCCCN2CCCC2=O)CC3)C([F])([F])[F],1
7-K10,[Cl]/C4=C/C2=C(OC1=CC=CC=C1[C@@]3([H])CNCC[C@@]23[H])C=C4,1
9-C1,O=C2N(C)C(=O)C=1N=CNC=1N2C,1
9-C15,COC=2C=C1CCOC1=C(C=2)CN[C@@]3([H])CCCN[C@@]3([H])C4=CC=CC=C4,1
9-C17,CCC=2C=C/C=C(/N=C(/C)NC=1C=C(C=CC=1)CC)C=2,1
9-C7,NCCN1N=CC2=CC([Cl])=C([Cl])C=C12,1
9-OH-risperidone,[F]/C2=C/C=1ON=C(C=1C=C2)[C@@]5([H])CCN(CCC=4C(=O)N3CCC[C@@](O)([H])C3=NC=4C)CC5,1
Abacavir,N/C3=N/C(N[C@@]1([H])CC1)=C2N=CN(C2=N3)[C@@]4([H])C[C@@]([H])(CO)C=C4,1
Albendazole,CCC[S]/C2=C/C=C1NC(NC(=O)OC)=NC1=C2,1
Allopurinol,OC=1NC=NC2=NN=CC=12,1
Aminopyrine,CN(C)C2=C(C)N(C)N(/C1=C/C=CC=C1)C2=O,1
Antipyrine,C/C2=C/C(=O)N(/C1=C/C=CC=C1)N2C,1
BBcpd60,CN(C)CC=3OC(C[S]CCNC=2N/C=C(/C/C1=C/C=CC=C1)C=2N(=O)=O)=CC=3,1
Benzene,C1=CC=CC=C1,1
Bretazenil,CC(C)(C)OC(=O)C=1N=CN3C=1[C@@]2([H])CCCN2C(=O)C4=CC([Br])=CC=C34,1
BRL52537,[Cl]C=1C=CC(=CC=1[Cl])CC(=O)N2CCCC[C@@]2([H])CN3CCCC3,1
BRL52580,[Cl]C=1C=CC(=CC=1[Cl])CC(=O)N3CCC=2C=CC=CC=2[C@@]3([H])CN4CCCC4,1
BRL52656,[F]C([F])([F])C1=CC=C(C=C1)CC(=O)N2CCCC[C@@]2([H])CN3CCCC3,1
BRL52871,[Cl]/C1=C/C(=C/C=C1/[Cl])CC(=O)N3CCC=2[S]C=CC=2[C@@]3([H])CN4CCCC4,1
