,Different Cyt enzymes,No. of unique_ids,Percentage of ids
0,Cytochrome c oxidase subunit 1,14,0.03673287329782489
1,Cytochrome P450 2C8,647,1.697583501692336
2,Cytochrome P450 2A6,150,0.39356649961955237
3,Cytochrome b5,3,0.007871329992391048
4,Cytochrome P450 3A,12,0.002623776664130349
5,Cytochrome P450 19A1,2731,7.1655340697399845
6,Cytochrome P450 2J2,23,0.06034686327499804
7,"Cytochrome c1, heme protein, mitochondrial",194,0.5090126728412877
8,Cytochrome b-c1 complex subunit 7,21,0.05509930994673733
9,Cytochrome P450 11A1,9,0.002623776664130349
10,Cytochrome P450 2C9,1334,3.500118069949886
11,Cytochrome b-245 heavy chain,79,0.2072783564662976
12,Cytochrome P450 26A1,128,0.3358434130086847
13,Cytochrome P450 2C19,238,0.6244588460630232
14,Apoptotic protease-activating factor 1/Caspase-3/Caspase-9/Cytochrome c,6,0.015742659984782095
15,Cytochrome c oxidase subunit 2,24,0.06297063993912838
16,Cytochrome P450 3A4,5951,15.614094928239709
17,Cytochrome P450 17A1,450,1.1806994988586572
18,Cytochrome P450 2W1,13,0.002623776664130349
19,NADPH--cytochrome P450 reductase,52,0.13643638653477816
20,Cytochrome P450 11B1,612,1.6057513184477739
21,Cytochrome P450 4F2,11,0.02886154330543384
22,Cytochrome P450 51,65,0.1705454831684727
23,Cytochrome P450 11B2,300,0.7871329992391047
24,Cytochrome P450 1A1,71,0.18628814315325481
25,Cytochrome P450 3A5,119,0.3122294230315116
26,Cytochrome P450 2E1,11,0.02886154330543384
27,Cytochrome P450 1A2,436,1.1439666255608323
28,Cytochrome P450 24A1,79,0.2072783564662976
29,NADH-cytochrome b5 reductase,32,0.08396085325217117
30,Cytochrome c,4,0.010495106656521397
31,Cytochrome P450 1B1,318,0.8343609791934511
32,Cytochrome P450 21,407,1.067877102301052
33,Ubiquinol-cytochrome C reductase complex 7.2 kDa protein,11,0.002623776664130349
34,Cytochrome P450 2B6,14,0.03673287329782489
35,Cytochrome P450 1A,4,0.010495106656521397
36,Cytochrome P450 3A4/3A5,68,0.17841681316086375
37,Cytochrome P450 2C18,13,0.002623776664130349
38,Cytochrome P450 2D6,23512,61.69023692703277
