Substance,Temperature,assays,Ionic Strength (M),S0 (mM),SD of S0 (mM),Kinetic Solubility (mM),SD of Kinetic Solubility (mM),,,SMILES,InChI,
 1_naphthol,25.89,4,0.17121,10432.3,408.616,18026,11884,,,c1ccc2c(cccc2O)c1,"InChI=1/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",
 2_amino_5_bromobenzoic_acid,25,5,0.16295,842.692,14.6303,2562,863.3,,,Brc1cc(C(O)=O)c(N)cc1,"InChI=1/C7H6BrNO2/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3H,9H2,(H,10,11)",
 4_iodophenol,25.74,4,0.218635,19312,604.678,25091,8427,,,c1cc(ccc1O)I,"InChI=1/C6H5IO/c7-5-1-3-6(8)4-2-5/h1-4,8H",
 5_bromo_2_4_dihydroxybenzoic_acid,25.05,5,0.186497,2397.22,40.1944,8726,753.8,,,Oc1c(Br)cc(C(O)=O)c(O)c1,"InChI=1/C7H5BrO4/c8-4-1-3(7(11)12)5(9)2-6(4)10/h1-2,9-10H,(H,11,12)",
 5_fluorouracil,25.1,,No precipitation detected. Kinetic solubility greater than 1180000 mM,,,,,,,Fc1c(=O)[nH]c(=O)[nH]c1,"InChI=1/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",
 acetaminophen,25.07,4,0.244024,86329.6,7016.34,161744,6983,,,O=C(Nc1ccc(cc1)O)C,"InChI=1/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",
 acetazolamide,24.45,9,0.242023,3671.3,76.54,6098,3836,,,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,"InChI=1/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)",
 alprenolol,25.59,2,0.160396,2321.89,41.6769,5079,46.81,,,CC(C)NCC(O)COc1ccccc1CC=C,"InChI=1/C15H23NO2/c1-4-7-13-8-5-6-9-15(13)18-11-14(17)10-16-12(2)3/h4-6,8-9,12,14,16-17H,1,7,10-11H2,2-3H3/t14-/m1/s1",
 amantadine,25.57,3,0.272664,14007.5,1181.13,17333,3954,,,C1C2CC3CC(CC1C3)(N)C2,"InChI=1/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2/t7-,8+,9-,10-",
 amiodarone,25.03,9,Co-solvent technique used. The resulting S0 at 0% MeOH is 0.0067 mM (Plot shown below),,,,,,,C(=O)(c1cc(c(c(I)c1)OCCN(CC)CC)I)c1c(oc2c1cccc2)CCCC,"InChI=1/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3",
