,dosage_form,route,trade_name,approval_date,ad_type,oral,topical,parenteral,black_box_warning,applicant_full_name,innovator_company,product_id,nda_type
0,SOLUTION/DROPS,OPHTHALMIC,PAREDRINE,1982-01-01,DISCN,0,1,0,,PHARMICS INC,0,PRODUCT_000004_004,N
1,TABLET,ORAL,SULFAPYRIDINE,1982-01-01,DISCN,1,0,0,,ELI LILLY AND CO,0,PRODUCT_000159_001,N
2,INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_001,N
3,INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_002,N
4,INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_003,N
5,INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_004,N
6,INJECTABLE,INJECTION,LIQUAEMIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_005,N
7,INJECTABLE,INJECTION,LIQUAEMIN LOCK FLUSH,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_007,N
8,INJECTABLE,INJECTION,HEPARIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_008,N
9,INJECTABLE,INJECTION,HEPARIN SODIUM,1982-01-01,DISCN,0,0,1,,ORGANON USA INC,0,PRODUCT_000552_009,N
