,frac_class_id,active_ingredient,level1,level1_description,level2,level2_description,level3,level3_description,level4,level4_description,level5,frac_code
0,470,PEFURAZOATE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13D,IMIDAZOLES,G13D3,3
1,471,PROCHLORAZ,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13D,IMIDAZOLES,G13D4,3
2,472,TRIFLUMIZOLE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13D,IMIDAZOLES,G13D5,3
3,473,AZACONAZOLE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13E,TRIAZOLES,G13E1,3
4,474,BITERTANOL,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13E,TRIAZOLES,G13E2,3
5,475,BROMUCONAZOLE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13E,TRIAZOLES,G13E3,3
6,476,CYPROCONAZOLE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13E,TRIAZOLES,G13E4,3
7,477,DIFENOCONAZOLE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13E,TRIAZOLES,G13E5,3
8,478,DINICONAZOLE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13E,TRIAZOLES,G13E6,3
9,479,EPOXICONAZOLE,G,STEROL BIOSYNTHESIS IN MEMBRANES,G1,C14-DEMETHYLASE IN STEROL BIOSYNTHESIS (ERG11/CYP51),G13,DMI-FUNGICIDES (DEMETHYLATION INHIBITORS) (SBI: CLASS I),G13E,TRIAZOLES,G13E7,3
