,who_name,level1,level2,level3,level4,level5,level1_description,level2_description,level3_description,level4_description
0,sodium fluoride,A,A01,A01A,A01AA,A01AA01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
1,sodium monofluorophosphate,A,A01,A01A,A01AA,A01AA02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
2,olaflur,A,A01,A01A,A01AA,A01AA03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
3,stannous fluoride,A,A01,A01A,A01AA,A01AA04,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
4,combinations,A,A01,A01A,A01AA,A01AA30,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
5,"sodium fluoride, combinations",A,A01,A01A,A01AA,A01AA51,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
6,hydrogen peroxide,A,A01,A01A,A01AB,A01AB02,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
7,chlorhexidine,A,A01,A01A,A01AB,A01AB03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
8,amphotericin B,A,A01,A01A,A01AB,A01AB04,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
9,polynoxylin,A,A01,A01A,A01AB,A01AB05,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
