,irac_class_id,active_ingredient,level1,level1_description,level2,level2_description,level3,level3_description,level4,irac_code
0,1,HEXYTHIAZOX,C,GROWTH REGULATION,C10,MITE GROWTH INHIBITORS,C1010A,"CLOFENTEZINE, HEXYTHIAZOX, DIFLOVIDAZIN",C1010A2,10A
1,2,DIFLOVIDAZIN,C,GROWTH REGULATION,C10,MITE GROWTH INHIBITORS,C1010A,"CLOFENTEZINE, HEXYTHIAZOX, DIFLOVIDAZIN",C1010A3,10A
2,3,ETOXAZOLE,C,GROWTH REGULATION,C10,MITE GROWTH INHIBITORS,C1010B,ETOXAZOLE,C1010B1,10B
3,4,DIAFENTHIURON,D,ENERGY METABOLISM,D12,INHIBITORS OF MITOCHONDRIAL ATP SYNTHASE,D1212A,DIAFENTHIURON,D1212A1,12A
4,5,AZOCYCLOTIN,D,ENERGY METABOLISM,D12,INHIBITORS OF MITOCHONDRIAL ATP SYNTHASE,D1212B,ORGANOTIN MITICIDES,D1212B1,12B
5,6,CYHEXATIN,D,ENERGY METABOLISM,D12,INHIBITORS OF MITOCHONDRIAL ATP SYNTHASE,D1212B,ORGANOTIN MITICIDES,D1212B2,12B
6,7,FENBUTATIN OXIDE,D,ENERGY METABOLISM,D12,INHIBITORS OF MITOCHONDRIAL ATP SYNTHASE,D1212B,ORGANOTIN MITICIDES,D1212B3,12B
7,8,PROPARGITE,D,ENERGY METABOLISM,D12,INHIBITORS OF MITOCHONDRIAL ATP SYNTHASE,D1212C,PROPARGITE,D1212C1,12C
8,9,TETRADIFON,D,ENERGY METABOLISM,D12,INHIBITORS OF MITOCHONDRIAL ATP SYNTHASE,D1212D,TETRADIFON,D1212D1,12D
9,10,CHLORFENAPYR,D,ENERGY METABOLISM,D13,UNCOUPLERS OF OXIDATIVE PHOSPHORYLATION VIA DISRUPTION OF THE PROTON GRADIENT,D1313A,"CHLORFENAPYR, DNOC, SULFLURAMID",D1313A1,13
