,Tables_in_chembl25
0,action_type
1,activities
2,activity_properties
3,activity_smid
4,activity_stds_lookup
5,activity_supp
6,activity_supp_map
7,assay_class_map
8,assay_classification
9,assay_parameters
10,assay_type
11,assays
12,atc_classification
13,binding_sites
14,bio_component_sequences
15,bioassay_ontology
16,biotherapeutic_components
17,biotherapeutics
18,cell_dictionary
19,chembl_id_lookup
20,component_class
21,component_domains
22,component_go
23,component_sequences
24,component_synonyms
25,compound_properties
26,compound_records
27,compound_structural_alerts
28,compound_structures
29,confidence_score_lookup
30,curation_lookup
31,data_validity_lookup
32,defined_daily_dose
33,docs
34,domains
35,drug_indication
36,drug_mechanism
37,formulations
38,frac_classification
39,go_classification
40,hrac_classification
41,indication_refs
42,irac_classification
43,ligand_eff
44,mechanism_refs
45,metabolism
46,metabolism_refs
47,molecule_atc_classification
48,molecule_dictionary
49,molecule_frac_classification
50,molecule_hierarchy
51,molecule_hrac_classification
52,molecule_irac_classification
53,molecule_synonyms
54,organism_class
55,patent_use_codes
56,predicted_binding_domains
57,product_patents
58,products
59,protein_class_synonyms
60,protein_classification
61,protein_family_classification
62,relationship_type
63,research_companies
64,research_stem
65,site_components
66,source
67,structural_alert_sets
68,structural_alerts
69,target_components
70,target_dictionary
71,target_relations
72,target_type
73,tissue_dictionary
74,usan_stems
75,variant_sequences
76,version
