,metref_id,met_id,ref_type,ref_id,ref_url
0,39,119,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
1,40,120,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
2,41,121,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
3,42,122,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
4,43,123,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
5,44,124,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
6,45,125,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
7,46,127,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf
8,47,127,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
9,48,128,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
