Compound,Class,Set
Acenocoumarol,P+,Training
Amiodarone,P+,Training
Amitriptyline,P+,Training
Amlodipine,P+,Training
Anastrozole,P+,Training
Astemizole,P+,Training
Atazanavir,P+,Training
Atorvastatin,P+,Training
Atovaquone,P+,Training
Azapropazone,P+,Training
Azelastine,P+,Training
Barnidipine,P+,Training
Benzbromarone,P+,Training
Buprenorphine,P+,Training
Candesartan,P+,Training
Cerivastatin,P+,Training
Chloramphenicol,P+,Training
Chlorpromazine,P+,Training
Cilnidipine,P+,Training
Cimetidine,P+,Training
Citalopram,P+,Training
Clopidogrel,P+,Training
Clotrimazole,P+,Training
Clozapine,P+,Training
Colchicine,P+,Training
Colecalciferol,P+,Training
Delavirdine,P+,Training
Desloratadine,P+,Training
Dexloxiglumide,P+,Training
Dexmedetomidine,P+,Training
Dextropropoxyphene,P+,Training
Diclofenac,P+,Training
Dicoumarol,P+,Training
Diltiazem,P+,Training
Dimethyl sulfoxide,P+,Training
Disulfiram,P+,Training
Drospirenone,P+,Training
Efavirenz,P+,Training
Entacapone,P+,Training
Epinephrine,P+,Training
Eprosartan,P+,Training
Escitalopram,P+,Training
Ethanol,P+,Training
Etoricoxib,P+,Training
Felodipine,P+,Training
Fluconazole,P+,Training
Fluorouracil,P+,Training
Fluoxetine,P+,Training
Flurbiprofen,P+,Training
Fluvastatin,P+,Training
Fluvoxamine,P+,Training
Gemfibrozil,P+,Training
Glibenclamide,P+,Training
Ibuprofen,P+,Training
Imatinib,P+,Training
Indinavir,P+,Training
Indometacin,P+,Training
Ipriflavone,P+,Training
Irbesartan,P+,Training
Irinotecan,P+,Training
Isoniazid,P+,Training
Isradipine,P+,Training
Itraconazole,P+,Training
Ketoconazole,P+,Training
Lansoprazole,P+,Training
Leflunomide,P+,Training
Loratadine,P+,Training
Lovastatin,P+,Training
Manidipine,P+,Training
Mefenamic acid,P+,Training
Mephenytoin,P+,Training
Methoxsalen,P+,Training
Metronidazole,P+,Training
Miconazole,P+,Training
Midazolam,P+,Training
Mizolastine,P+,Training
Moclobemide,P+,Training
Modafinil,P+,Training
Nateglinide,P+,Training
Nelfinavir,P+,Training
Nicardipine,P+,Training
Nifedipine,P+,Training
Nimodipine,P+,Training
Nitrendipine,P+,Training
Olanzapine,P+,Training
Omeprazole,P+,Training
Ondansetron,P+,Training
Orphenadrine,P+,Training
Parathion,P+,Training
Parecoxib,P+,Training
Paroxetine,P+,Training
Perphenazine,P+,Training
Phenprocoumon,P+,Training
Phenylbutazone,P+,Training
Phenytoin,P+,Training
Piroxicam,P+,Training
Pravastatin,P+,Training
Proadifen,P+,Training
Probenecid,P+,Training
Progesterone,P+,Training
Propanol,P+,Training
Propofol,P+,Training
Pyrimethamine,P+,Training
Quercetin,P+,Training
Quetiapine,P+,Training
Rabeprazole,P+,Training
Rebamipide,P+,Training
Ritonavir,P+,Training
Rosiglitazone,P+,Training
Saquinavir,P+,Training
Selegiline,P+,Training
Seratrodast,P+,Training
Sertraline,P+,Training
Sildenafil,P+,Training
Simvastatin,P+,Training
Sulfadimethoxine,P+,Training
Sulfadimidine,P+,Training
Sulfafurazole,P+,Training
Sulfamethoxazole,P+,Training
Sulfamoxole,P+,Training
Sulfanilamide,P+,Training
Sulfaphenazole,P+,Training
Sulfapyridine,P+,Training
Sulfinpyrazone,P+,Training
Suprofen,P+,Training
Tamoxifen,P+,Training
Tegaserod,P+,Training
Teniposide,P+,Training
Tenoxicam,P+,Training
Terfenadine,P+,Training
Tezosentan,P+,Training
Thiamazole,P+,Training
Tiabendazole,P+,Training
Ticlopidine,P+,Training
Tienilic acid,P+,Training
Tioconazole,P+,Training
Tolbutamide,P+,Training
Tolcapone,P+,Training
Trimethoprim,P+,Training
Troglitazone,P+,Training
Valdecoxib,P+,Training
Valproic acid,P+,Training
Valsartan,P+,Training
Verapamil,P+,Training
Voriconazole,P+,Training
Zafirlukast,P+,Training
Zaltoprofen,P+,Training
Zileuton,P+,Training
Zolpidem,P+,Training
Abacavir,P-,Training
Abecarnil,P-,Training
Acebutolol,P-,Training
Aceclofenac,P-,Training
Acetanilide,P-,Training
Acetazolamide,P-,Training
Acetone,P-,Training
Acetylsalicylic acid,P-,Training
Adinazolam,P-,Training
Ajmaline,P-,Training
Albendazole,P-,Training
Alosetron,P-,Training
Alpidem,P-,Training
