Compound,Class,Set
Acebutolol,P+,Training
Ajmaline,P+,Training
Almotriptan,P+,Training
Alprenolol,P+,Training
Amiodarone,P+,Training
Amitriptyline,P+,Training
Amlodipine,P+,Training
Amoxapine,P+,Training
Astemizole,P+,Training
Atorvastatin,P+,Training
Azacyclonol,P+,Training
Azelastine,P+,Training
Barnidipine,P+,Training
Bepridil,P+,Training
Betaxolol,P+,Training
Budipine,P+,Training
Bufuralol,P+,Training
Bupranolol,P+,Training
Buprenorphine,P+,Training
Bupropion,P+,Training
Cathinone,P+,Training
Celecoxib,P+,Training
Cerivastatin,P+,Training
Chloramphenicol,P+,Training
Chloroquine,P+,Training
Chlorphenamine,P+,Training
Chlorpromazine,P+,Training
Cimetidine,P+,Training
Cisapride,P+,Training
Citalopram,P+,Training
Clemastine,P+,Training
Clomipramine,P+,Training
Clotrimazole,P+,Training
Clozapine,P+,Training
Cocaine,P+,Training
Codeine,P+,Training
Colecalciferol,P+,Training
Debrisoquine,P+,Training
Delavirdine,P+,Training
Desipramine,P+,Training
Desloratadine,P+,Training
Dexmedetomidine,P+,Training
Dextromethorphan,P+,Training
Dextropropoxyphene,P+,Training
Diltiazem,P+,Training
Dimethyl sulfoxide,P+,Training
Diphenhydramine,P+,Training
Doxorubicin,P+,Training
Efavirenz,P+,Training
Entacapone,P+,Training
Erythromycin,P+,Training
Etoperidone,P+,Training
Etoricoxib,P+,Training
Ezlopitant,P+,Training
Felodipine,P+,Training
Flecainide,P+,Training
Fluoxetine,P+,Training
Fluphenazine,P+,Training
Fluvastatin,P+,Training
Fluvoxamine,P+,Training
Halofantrine,P+,Training
Haloperidol,P+,Training
Hydroquinidine,P+,Training
Hydroxyzine,P+,Training
Imatinib,P+,Training
Indinavir,P+,Training
Isoniazid,P+,Training
Ketoconazole,P+,Training
Labetalol,P+,Training
Lansoprazole,P+,Training
Lercanidipine,P+,Training
Levomepromazine,P+,Training
Lidocaine,P+,Training
Lomustine,P+,Training
