Compound,Class,Set
Albendazole,P+,Training
Almotriptan,P+,Training
Alprenolol,P+,Training
Amfetamine,P+,Training
Amiflamine,P+,Training
Aminopyrine,P+,Training
Amiodarone,P+,Training
Amodiaquine,P+,Training
Amoxapine,P+,Training
Amprenavir,P+,Training
Aprindine,P+,Training
Aripiprazole,P+,Training
Artemisinin,P+,Training
Astemizole,P+,Training
Atomoxetine,P+,Training
Avitriptan,P+,Training
Azelastine,P+,Training
Benzydamine,P+,Training
Betaxolol,P+,Training
Bortezomib,P+,Training
Brofaromine,P+,Training
Buflomedil,P+,Training
Bupivacaine,P+,Training
Bupranolol,P+,Training
Buprenorphine,P+,Training
Buspirone,P+,Training
Caffeine,P+,Training
Captopril,P+,Training
Carbaril,P+,Training
Carteolol,P+,Training
Carvedilol,P+,Training
Celecoxib,P+,Training
Cevimeline,P+,Training
Chloroquine,P+,Training
Chlorphenamine,P+,Training
Chlorpromazine,P+,Training
Chlorpyrifos,P+,Training
Chlorzoxazone,P+,Training
Cibenzoline,P+,Training
Cisapride,P+,Training
Citalopram,P+,Training
Clomipramine,P+,Training
Clozapine,P+,Training
Codeine,P+,Training
Cyclobenzaprine,P+,Training
Cyclophosphamide,P+,Training
Dapsone,P+,Training
Debrisoquine,P+,Training
Delavirdine,P+,Training
Dextromethorphan,P+,Training
Dextrorphan,P+,Training
Diltiazem,P+,Training
Diphenhydramine,P+,Training
Diprafenone,P+,Training
Dolasetron,P+,Training
Donepezil,P+,Training
Doxepin,P+,Training
Encainide,P+,Training
Epinastine,P+,Training
Escitalopram,P+,Training
Estradiol,P+,Training
Etoperidone,P+,Training
Etoricoxib,P+,Training
Ezlopitant,P+,Training
Fenfluramine,P+,Training
Flecainide,P+,Training
Flunarizine,P+,Training
Fluoxetine,P+,Training
Fluphenazine,P+,Training
Fluvastatin,P+,Training
Fluvoxamine,P+,Training
Galantamine,P+,Training
Guanoxan,P+,Training
Halofantrine,P+,Training
Haloperidol,P+,Training
Halothane,P+,Training
Hydrocodone,P+,Training
Hydrocortisone,P+,Training
Iloperidone,P+,Training
Imipramine,P+,Training
Indinavir,P+,Training
Ketamine,P+,Training
Labetalol,P+,Training
Levacetylmethadol,P+,Training
Lidocaine,P+,Training
Loratadine,P+,Training
Maprotiline,P+,Training
m-Chlorophenylpiperazine,P+,Training
Mequitazine,P+,Training
Metamfetamine,P+,Training
Methiocarb,P+,Training
Metoclopramide,P+,Training
Metoprolol,P+,Training
Mexiletine,P+,Training
Milameline,P+,Training
Minaprine,P+,Training
Mirtazapine,P+,Training
Mizolastine,P+,Training
Molindone,P+,Training
Nelfinavir,P+,Training
Nevirapine,P+,Training
Nicardipine,P+,Training
Nicotine,P+,Training
Nifedipine,P+,Training
Norcodeine,P+,Training
Nortriptyline,P+,Training
Olanzapine,P+,Training
Omeprazole,P+,Training
Ondansetron,P+,Training
Orphenadrine,P+,Training
Papaverine,P+,Training
Paracetamol,P+,Training
Parathion,P+,Training
Paroxetine,P+,Training
Penbutolol,P+,Training
Pentazocine,P+,Training
Perhexiline,P+,Training
Perphenazine,P+,Training
Pethidine,P+,Training
Phenacetin,P+,Training
Phenformin,P+,Training
Phenytoin,P+,Training
Pinacidil,P+,Training
Pindolol,P+,Training
Praziquantel,P+,Training
Pregnenolone,P+,Training
Primaquine,P+,Training
Progesterone,P+,Training
Promazine,P+,Training
Propafenone,P+,Training
Propofol,P+,Training
Pyrantel,P+,Training
Quetiapine,P+,Training
Ranitidine,P+,Training
Remoxipride,P+,Training
Risperidone,P+,Training
Ritonavir,P+,Training
Saquinavir,P+,Training
Selegiline,P+,Training
Sertindole,P+,Training
Sertraline,P+,Training
Sildenafil,P+,Training
Sparteine,P+,Training
Tamoxifen,P+,Training
Tamsulosin,P+,Training
Tauromustine,P+,Training
Tegaserod,P+,Training
Terfenadine,P+,Training
Terguride,P+,Training
Testosterone,P+,Training
Theophylline,P+,Training
Thioridazine,P+,Training
Tiagabine,P+,Training
Timolol,P+,Training
Tolperisone,P+,Training
Tolterodine,P+,Training
Tramadol,P+,Training
Trazodone,P+,Training
Trichloromethane,P+,Training
Trifluperidol,P+,Training
Trimipramine,P+,Training
Troglitazone,P+,Training
Tropisetron,P+,Training
Valdecoxib,P+,Training
Vinorelbine,P+,Training
Warfarin,P+,Training
Yohimbine,P+,Training
Zolpidem,P+,Training
Zotepine,P+,Training
Abacavir,P-,Training
Abecarnil,P-,Training
Acebutolol,P-,Training
Aceclofenac,P-,Training
Acenocoumarol,P-,Training
Acetanilide,P-,Training
Acetazolamide,P-,Training
Acetone,P-,Training
Acetylsalicylic acid,P-,Training
Adinazolam,P-,Training
Ajmaline,P-,Training
Alosetron,P-,Training
Alpidem,P-,Training
Alprazolam,P-,Training
Ambroxol,P-,Training
Aminoglutethimide,P-,Training
Amlodipine,P-,Training
Anastrozole,P-,Training
Aniline,P-,Training
Anthraquinone,P-,Training
Apomorphine,P-,Training
Aprepitant,P-,Training
Argatroban,P-,Training
Artesunate,P-,Training
Atazanavir,P-,Training
Atorvastatin,P-,Training
Atovaquone,P-,Training
Avasimibe,P-,Training
Azacyclonol,P-,Training
Azamulin,P-,Training
Azapropazone,P-,Training
Azatadine,P-,Training
Azimilide,P-,Training
Azithromycin,P-,Training
Barnidipine,P-,Training
Benzbromarone,P-,Training
Benzene,P-,Training
Benzfetamine,P-,Training
Bepridil,P-,Training
Betamethasone,P-,Training
Bexarotene,P-,Training
Bezafibrate,P-,Training
Bifluranol,P-,Training
Bifonazole,P-,Training
Biperiden,P-,Training
Boldenone,P-,Training
Bosentan,P-,Training
Brinzolamide,P-,Training
Bromazepam,P-,Training
Bromocriptine,P-,Training
Bropirimine,P-,Training
Brotizolam,P-,Training
Budesonide,P-,Training
Budipine,P-,Training
Bupropion,P-,Training
Busulfan,P-,Training
Calcium folinate,P-,Training
Candesartan,P-,Training
Capravirine,P-,Training
Carbimazole,P-,Training
Carisoprodol,P-,Training
Cathinone,P-,Training
Cerivastatin,P-,Training
Chenodeoxycholic acid,P-,Training
Chloral hydrate,P-,Training
Chloramphenicol,P-,Training
Chlordiazepoxide,P-,Training
Chlormadinone,P-,Training
Ciclosporin,P-,Training
Cilnidipine,P-,Training
Cilostazol,P-,Training
Cimetidine,P-,Training
Ciprofibrate,P-,Training
Clemastine,P-,Training
Clindamycin,P-,Training
Clofazimine,P-,Training
Clofibrate,P-,Training
Clofibric acid,P-,Training
Clomethiazole,P-,Training
Clopidogrel,P-,Training
Clotrimazole,P-,Training
Cocaine,P-,Training
Colchicine,P-,Training
Colecalciferol,P-,Training
Colestyramine,P-,Training
Cortisol,P-,Training
Cortisone,P-,Training
Cotinine,P-,Training
Coumarin,P-,Training
Cyproterone,P-,Training
Dacarbazine,P-,Training
Dalfopristin,P-,Training
Danazol,P-,Training
Dantrolene,P-,Training
Daunorubicin,P-,Training
Dazoxiben,P-,Training
Desogestrel,P-,Training
Dexloxiglumide,P-,Training
Dexmedetomidine,P-,Training
Dextropropoxyphene,P-,Training
Dicoumarol,P-,Training
Dieldrin,P-,Training
Diethylcarbamazine,P-,Training
