Compound,Class,Set
Acetazolamide,P+,Training
Almotriptan,P+,Training
Ambroxol,P+,Training
Amiodarone,P+,Training
Amitriptyline,P+,Training
Amlodipine,P+,Training
Amprenavir,P+,Training
Anastrozole,P+,Training
Aprepitant,P+,Training
Astemizole,P+,Training
Atazanavir,P+,Training
Atorvastatin,P+,Training
Avasimibe,P+,Training
Azamulin,P+,Training
Azelastine,P+,Training
Azithromycin,P+,Training
Barnidipine,P+,Training
Betamethasone,P+,Training
Bifonazole,P+,Training
Bromocriptine,P+,Training
Buprenorphine,P+,Training
Calcium folinate,P+,Training
Carbamazepine,P+,Training
Carvedilol,P+,Training
Cerivastatin,P+,Training
Cetirizine,P+,Training
Chloramphenicol,P+,Training
Chlormadinone,P+,Training
Chloroquine,P+,Training
Chlorpromazine,P+,Training
Chlorpyrifos,P+,Training
Chlorzoxazone,P+,Training
Ciclosporin,P+,Training
Cimetidine,P+,Training
Cisapride,P+,Training
Clarithromycin,P+,Training
Clemastine,P+,Training
Clindamycin,P+,Training
Clofazimine,P+,Training
Clotrimazole,P+,Training
Clozapine,P+,Training
Cocaine,P+,Training
Colchicine,P+,Training
Cortisol,P+,Training
Coumarin,P+,Training
Dalfopristin,P+,Training
Danazol,P+,Training
Daunorubicin,P+,Training
Delapril,P+,Training
Delavirdine,P+,Training
Desloratadine,P+,Training
Dexmedetomidine,P+,Training
Dextropropoxyphene,P+,Training
Diazepam,P+,Training
Diclofenac,P+,Training
Digoxin,P+,Training
Dihydralazine,P+,Training
Dihydroergotamine,P+,Training
Diltiazem,P+,Training
Dimethyl sulfoxide,P+,Training
Dirithromycin,P+,Training
Disulfamide,P+,Training
Ditiocarb sodium,P+,Training
Docetaxel,P+,Training
Doxycycline,P+,Training
Drospirenone,P+,Training
Ebrotidine,P+,Training
Econazole,P+,Training
Efavirenz,P+,Training
Efonidipine,P+,Training
Entacapone,P+,Training
Eplerenone,P+,Training
Ergotamine,P+,Training
Ethinylestradiol,P+,Training
Etoposide,P+,Training
Etoricoxib,P+,Training
Famotidine,P+,Training
Felodipine,P+,Training
Fentanyl,P+,Training
Fluconazole,P+,Training
Fluoxetine,P+,Training
Fluphenazine,P+,Training
Flurithromycin,P+,Training
Flutamide,P+,Training
Fluvastatin,P+,Training
Fluvoxamine,P+,Training
Gallopamil,P+,Training
Gemfibrozil,P+,Training
Gestodene,P+,Training
Glibenclamide,P+,Training
Grepafloxacin,P+,Training
Haloperidol,P+,Training
Homochlorcyclizine,P+,Training
Hydralazine,P+,Training
Ifosfamide,P+,Training
Imatinib,P+,Training
Indinavir,P+,Training
Ipriflavone,P+,Training
Irbesartan,P+,Training
Irinotecan,P+,Training
Isoniazid,P+,Training
Itraconazole,P+,Training
Josamycin,P+,Training
Ketoconazole,P+,Training
Lansoprazole,P+,Training
Lomustine,P+,Training
Loratadine,P+,Training
Losartan,P+,Training
Malathion,P+,Training
Manidipine,P+,Training
Mefloquine,P+,Training
Mequitazine,P+,Training
Methadone,P+,Training
Methoxsalen,P+,Training
Methylprednisolone,P+,Training
Metoclopramide,P+,Training
Metronidazole,P+,Training
Metyrapone,P+,Training
Mibefradil,P+,Training
Miconazole,P+,Training
Midazolam,P+,Training
Midecamycin,P+,Training
Mifepristone,P+,Training
Mirtazapine,P+,Training
Mitoxantrone,P+,Training
Mizolastine,P+,Training
Nefazodone,P+,Training
Nelfinavir,P+,Training
Nevirapine,P+,Training
Nicardipine,P+,Training
Nifedipine,P+,Training
Nimodipine,P+,Training
Nisoldipine,P+,Training
Nitrendipine,P+,Training
Norfloxacin,P+,Training
Oltipraz,P+,Training
Omeprazole,P+,Training
Onapristone,P+,Training
Orphenadrine,P+,Training
