"","StaticF: fold0","StaticF: fold1","StaticF: fold2","SemiF: fold0","SemiF: fold1","SemiF: fold2","ECFP6: fold0","ECFP6: fold1","ECFP6: fold2","DFS8: fold0","DFS8: fold1","DFS8: fold2","ECFP6+ToxF: fold0","ECFP6+ToxF: fold1","ECFP6+ToxF: fold2"
"CHEMBL1614338",0.607142857142857,0.285714285714286,0.564102564102564,0.678571428571429,0.285714285714286,0.923076923076923,0.785714285714286,1,0.948717948717949,0.642857142857143,0.857142857142857,0.769230769230769,0.821428571428571,0.428571428571429,0.897435897435898
"CHEMBL1243971",0.654320987654321,0,1,0.83641975308642,0,0.444444444444444,0.691358024691358,0,0.555555555555556,0.589506172839506,0.5,0.444444444444444,0.527777777777778,0,0.555555555555556
"CHEMBL1614044",0.725,0.643939393939394,0.5546875,0.95,0.939393939393939,0.5625,0.675,0.893939393939394,0.5625,0.925,0.931818181818182,0.765625,0.925,0.96969696969697,0.53125
"CHEMBL2045986",0.888888888888889,0.828571428571429,1,1,0.609523809523809,0.982758620689655,1,0.819047619047619,1,1,0.666666666666667,1,1,0.885714285714286,0.982758620689655
"CHEMBL618396",0.868421052631579,0.959677419354839,0.928571428571429,0.964912280701754,1,1,0.842105263157895,1,1,0.964912280701754,0.983870967741935,1,0.842105263157895,0.989247311827957,1
"CHEMBL3079731",0.421052631578947,0.25,0.764705882352941,0.593984962406015,0,0.764705882352941,0.646616541353384,0.15,0.647058823529412,0.740601503759398,0.6,0.970588235294118,0.571428571428571,0.15,0.705882352941176
"CHEMBL1794498",0.935,0.958333333333333,0.968253968253968,0.9275,0.989583333333333,0.955026455026455,0.925,0.989583333333333,0.94973544973545,0.9425,0.979166666666667,0.931216931216931,0.93,0.979166666666667,0.939153439153439
"CHEMBL2091156",0.866666666666667,0.865740740740741,0.914285714285714,0.7,0.877314814814815,0.971428571428571,0.8,0.893518518518518,0.957142857142857,0.966666666666667,0.820601851851852,0.957142857142857,0.8,0.886574074074074,0.942857142857143
"CHEMBL2363253",0.69047619047619,0.54375,0.659090909090909,0.755952380952381,0.63125,0.825757575757576,0.744047619047619,0.66875,0.818181818181818,0.642857142857143,0.4625,0.666666666666667,0.714285714285714,0.55625,0.75
"CHEMBL1738192",0.66,0.830128205128205,0.945,0.48,0.92948717948718,0.97,0.56,0.778846153846154,1,0.61,0.69551282051282,0.99,0.77,0.865384615384615,1
"CHEMBL1614154",0.626262626262626,0.930232558139535,0.789473684210526,0.919191919191919,1,1,0.696969696969697,1,0.842105263157895,0.686868686868687,0.918604651162791,1,0.868686868686869,0.790697674418605,1
"CHEMBL1964055",0.822916666666667,0.706896551724138,0.85632183908046,0.979166666666667,0.620689655172414,0.867816091954023,0.4375,0.620689655172414,0.64367816091954,0.927083333333333,0.0689655172413793,0.850574712643678,0.864583333333333,0.793103448275862,0.735632183908046
"CHEMBL2363800",0.401785714285714,0.518181818181818,0.46875,0.464285714285714,0.468181818181818,0.5875,0.633928571428571,0.581818181818182,0.51875,0.4375,0.413636363636364,0.51875,0.535714285714286,0.6,0.56875
"CHEMBL1794420",0.921717171717172,0.857142857142857,0.94973544973545,0.876262626262626,0.933333333333333,0.928571428571428,0.876262626262626,0.971428571428571,0.923280423280423,0.892676767676768,0.942857142857143,0.939153439153439,0.904040404040404,0.971428571428571,0.920634920634921
