"","assay","qhtsassay","accQHTS","accQHTSCI","TN1","FN1","FP1","TP1","accCOMP","accCOMPCI","TN2","FN2","FP2","TP2","diff","sign","pval","manually","desc1","link1","desc2","link2"
"17","CHEMBL1909134","CHEMBL1613777",0.535211267605634,"[0.4136,0.653]",25,0,33,13,0.947115384615385,"[0.9198,0.9658]",392,21,1,2,0.411904117009751,1,1.95112040959236e-17,TRUE,"DRUGMATRIX: CYP450, 2C19 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613777","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C19. (Class of assay: confirmatory) [Related pubchem assays: 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1613777"
"21","CHEMBL1909200","CHEMBL1614521",0.555555555555556,"[0.4012,0.7005]",24,2,18,1,0.981042654028436,"[0.9615,0.9912]",412,7,1,2,0.42548709847288,1,9.57137375204058e-17,TRUE,"DRUGMATRIX: Protein Serine/Threonine Kinase, ERK2 enzyme inhibition (substrate: Myelin Basic Protein)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614521","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of the ERK Signaling Pathway using a Homogeneous Screening Assay; Stimulation with EGF. (Class of assay: confirmatory) [Related pubchem assays: 995 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614521"
"19","CHEMBL1909136","CHEMBL1614110",0.506329113924051,"[0.3923,0.6197]",22,2,37,18,0.906474820143885,"[0.8734,0.9319]",378,39,0,0,0.400145706219834,1,2.75956255830404e-15,TRUE,"DRUGMATRIX: CYP450, 2D6 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614110","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2D6. (Class of assay: confirmatory) [Related pubchem assays: 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614110"
"18","CHEMBL1909135","CHEMBL1614027",0.681159420289855,"[0.5567,0.7853]",38,1,21,9,0.94811320754717,"[0.9213,0.9664]",399,21,1,3,0.266953787257315,1,1.34725010158002e-09,TRUE,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614027","PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614027"
"20","CHEMBL1909138","CHEMBL1614108",0.863157894736842,"[0.8041,0.9071]",164,11,15,0,0.953995157384988,"[0.9278,0.9713]",391,18,1,3,0.0908372626481457,1,0.000176315321162221,TRUE,"DRUGMATRIX: CYP450, 3A4 enzyme inhibition (substrate: 7-Benzyloxy-4-(trifluoromethyl)-coumarin)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614108","PUBCHEM_BIOASSAY: qHTS Assay for Activators of Cytochrome P450 3A4. (Class of assay: confirmatory) [Related pubchem assays: 410 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614108"
"1","CHEMBL1614310","CHEMBL1614544",0.647058823529412,"[0.5797,0.7092]",82,10,68,61,0.740740740740741,"[0.657,0.8105]",96,34,1,4,0.0936819172113289,1,0.0782864847677644,TRUE,"PUBCHEM_BIOASSAY: Validation of Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614544","PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614544"
"10","CHEMBL1737863","CHEMBL1614255",0.619047619047619,"[0.3869,0.8105]",2,2,6,11,0.752688172043011,"[0.6504,0.8337]",9,0,23,61,0.133640552995392,1,0.277158940901252,TRUE,"PUBCHEM_BIOASSAY: Confirmation of compounds inhibiting phosphomannose isomerase (PMI) via a fluorescence intensity assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1209, AID1220, AID1545, AID1553, AID1574, AID1620]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614255","PUBCHEM_BIOASSAY: HTS identification of compounds inhibiting phosphomannose isomerase (PMI) via a fluorescence intensity assay. (Class of assay: confirmatory) [Related pubchem assays: 1220 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614255"
"6","CHEMBL1614016","CHEMBL1794352",0.863013698630137,"[0.8086,0.9043]",0,0,30,189,0.877551020408163,"[0.8108,0.9238]",0,0,18,129,0.0145373217780262,1,0.753371437218346,TRUE,"PUBCHEM_BIOASSAY: Counter Screen for Luciferase-based Assay Positives. (Class of assay: confirmatory) [Related pubchem assays: 620, 618, 411 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1794352","PUBCHEM_BIOASSAY: qHTS profiling assay for firefly luciferase inhibitor/activator using purified enzyme and Km concentrations of substrates (counterscreen for miR-21 project). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2288, AID2289, AID2598, AID411]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1794352"
"16","CHEMBL1794393","CHEMBL1614512",0.666666666666667,"[0.4469,0.8357]",11,8,0,5,0.697916666666667,"[0.5945,0.7853]",49,14,15,18,0.03125,1,0.80702959142543,TRUE,"PUBCHEM_BIOASSAY: In Vitro MKP-3 Dose Response Assay for SAR Study. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1052, AID1661, AID2085, AID2679, AID425, AID553, AID566]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614512","PUBCHEM_BIOASSAY: MKP-3 in vitro HTS assay. (Class of assay: confirmatory) [Related pubchem assays: 1055, 566, 1052, 553, 1054 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614512"
"3","CHEMBL1614355","CHEMBL1614052",0.702380952380952,"[0.5913,0.7947]",0,7,18,59,0.69811320754717,"[0.5549,0.8126]",1,5,11,36,-0.00426774483378256,-1,1,TRUE,"PUBCHEM_BIOASSAY: Confirmation Concentration-Response Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction. (Class of assay: confirmatory) [Related pubchem assays: 1464, 1461 ]","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614052","PUBCHEM_BIOASSAY: qHTS Assay for Antagonists of the Neuropeptide S Receptor: cAMP Signal Transduction. (Class of assay: confirmatory)","https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1614052"
