,drug_name,drug_type
0,Acebutolol,Substrate
1,Carbamide,Substrate
2,Celiprolol,Substrate
3,Ciclosporin,Inhibitor
4,Clarithromycin,Inhibitor
5,Enalapril,Substrate
6,Estradiol,Substrate
7,Estrone,Substrate
8,Fexofenadine,Substrate
9,Fluvastatin,Substrate
10,G-strophanthin,Substrate
11,Imatinib,Substrate
12,Levofloxacin,Substrate
13,Methotrexate,Substrate
14,Mifepristone,Inhibitor
15,Pravastatin,Inhibitor
16,Probenecid,Substrate
17,Rifampicin,"Inhibitor,Inducer"
18,Rifamycin,Inhibitor
19,Ritonavir,Inhibitor
20,Rosuvastatin,Substrate
21,Saquinavir,Substrate
22,Sulfobromophthalein,"Substrate,Inhibitor"
23,Talinolol,Substrate
24,Telmisartan,Substrate
25,Unoproston,Substrate
26,Valsartan,Substrate
