,drug_name,drug_type
0,Aminogluthetimide,Inhibitor
1,Anastrozole,Inhibitor
2,Androstanolone,Substrate
3,Betamethason,"Inducer,Substrate"
4,Bifonazole,Inhibitor
5,Bucladesine,Inducer
6,Buserelin,Inducer
7,Clofenotane,Inhibitor
8,Clomifene,Inhibitor
9,Clonidine,Inducer
10,Clotrimazole,Inhibitor
11,Cyproterone,Inhibitor
12,Danazol,Inhibitor
13,Dibutylphthalate,Inducer
14,Diethylstilbestrol,Inducer
15,Dinoprostone,Inducer
16,Dopamine,Inhibitor
17,Econazole,Inhibitor
18,Ethanol,Inducer
19,Etomidate,Inhibitor
20,Etretinate,Inhibitor
21,Exemestane,Inhibitor
22,Fluconazole,Inhibitor
23,Formestane,Inhibitor
24,Glutathione,Inducer
25,Insulin (human),Inducer
26,Isoconazole,Inhibitor
27,Isoprenaline,Inducer
28,Itraconazole,Inhibitor
29,Letrozole,"Inhibitor,Substrate"
30,Levacetylmethadol,Substrate
31,Levonorgestrel,Inhibitor
32,Mefloquine,Inhibitor
33,Melatonin,Inhibitor
34,Methadone,Substrate
35,Methyltestosterone,Inducer
36,Miconazole,Inhibitor
37,Nandrolone,Substrate
38,Norepinephrine,Inhibitor
39,Oxycodone,Inhibitor
40,Paclitaxel,Inhibitor
41,Phenylephrine,Inducer
42,Prasterone,Substrate
43,Raloxifene,Inhibitor
44,Tamoxifen,Inhibitor
45,Terbinafine,Inhibitor
46,Testosterone,Substrate
47,Tibolone,Inhibitor
48,Tinidazole,Inhibitor
49,Tioconazole,Inhibitor
50,Trastuzumab,Inhibitor
51,Troglitazone,Inhibitor
52,Vorozole,Inhibitor
