,drug_name,drug_type
0,Acetylsalicylic Acid,Inducer
1,Adinazolam,Substrate
2,Aminogluthetimide,Inducer
3,Aminophenazone,"Inhibitor,Substrate"
4,Amiodarone,Substrate
5,Amitriptyline,"Inhibitor,Substrate"
6,Amoxicillin,Substrate
7,Amprenavir,Inhibitor
8,Aprepitant,"Inhibitor,Substrate"
9,Artemether,Substrate
10,Artemisinin,Inducer
11,Atomoxetine,Substrate
12,Azelastine,"Substrate,Inhibitor"
13,Barnidipine,Inhibitor
14,Benidipine,Inhibitor
15,Benzatropine,Substrate
16,Benzethonium,Substrate
17,Benzydamine,Substrate
18,Bicalutamide,Inhibitor
19,Bifonazole,Inhibitor
20,Bortezomib,"Inhibitor,Substrate"
21,Bromazepam,Substrate
22,Brompheniramine,Substrate
23,Buflomedil,Substrate
24,Bupivacaine,Substrate
25,Buprenorphine,Inhibitor
26,Capsaicin,Substrate
27,Carbamazepine,"Inducer,Inhibitor"
28,Carbinoxamine,Substrate
29,Carisoprodol,Substrate
30,Chinin,"Inhibitor,Substrate"
31,Chloramphenicol,"Inhibitor,Substrate"
32,Chlormadinone,Inhibitor
33,Chloroform,Substrate
34,Chlorpropamide,Substrate
35,Ciclosporin,Inhibitor
36,Cilostazol,Substrate
37,Cimetidine,Inhibitor
38,Cisapride,Substrate
39,Citalopram,"Inhibitor,Substrate"
40,Clarithromycin,"Inhibitor,Substrate"
41,Clobazam,Substrate
42,Clomethiazole,Substrate
43,Clomipramine,Substrate
44,Clopidogrel,Substrate
45,Clotiazepam,Substrate
46,Clotrimazole,Inhibitor
47,Clozapine,"Inhibitor,Substrate"
48,Colecalciferol,Inhibitor
49,Cyclophosphamide,Substrate
50,Dapsone,Substrate
51,Delavirdine,Inhibitor
52,Desipramine,"Substrate,Inhibitor"
53,Desloratadine,Inhibitor
54,Desogestrel,Substrate
55,Dexamethasone,Inducer
56,Dexfenfluramine,Inhibitor
57,Dextromethorphan,Substrate
58,Diazepam,"Inhibitor,Substrate"
59,Diclofenac,Substrate
60,Diethyltoluamide,Substrate
61,Dimethyl Sulfoxide,Inhibitor
62,Dopamine,Substrate
63,Doxazosin,Substrate
64,Doxepin,Substrate
65,Dronabinol,Substrate
66,Efavirenz,Inhibitor
67,Entacapone,Inhibitor
68,Escitalopram,Substrate
69,Esomeprazole,Substrate
70,Estradiol,Substrate
71,Ethanol,Inhibitor
72,Ethinylestradiol,"Inhibitor,Substrate"
73,Ethotoin,Inhibitor
74,Etizolam,Substrate
75,Etoricoxib,Inhibitor
76,Famotidine,Substrate
77,Felbamate,Inhibitor
78,Fenofibrate,Inhibitor
79,Fluconazole,Inhibitor
80,Flunitrazepam,Substrate
81,Fluoxetine,"Substrate,Inhibitor"
82,Flutamide,Substrate
83,Fluvoxamine,Inhibitor
84,Formoterol,Substrate
85,Fosamprenavir,Inhibitor
86,Fosphenytoin,"Inhibitor,Substrate"
87,Gefitinib,Inhibitor
88,Gemfibrozil,Inhibitor
89,Glibenclamide,Substrate
90,Gliclazide,Inhibitor
91,Glipizide,Substrate
92,Glucosamine,Substrate
93,Haloperidol,Substrate
94,Hexobarbital,Substrate
95,Ibuprofen,Substrate
96,Ifosfamide,Substrate
97,Imatinib,Substrate
98,Imipramine,"Inhibitor,Substrate"
99,Indinavir,Inhibitor
100,Indometacin,"Inhibitor,Substrate"
101,Ipriflavone,Inhibitor
102,Isoniazid,Inhibitor
103,Isopropanol,Inhibitor
104,Ketobemidone,Substrate
105,Ketoconazole,Inhibitor
106,Lafutidine,Inhibitor
107,Lansoprazole,"Substrate,Inhibitor"
108,Lopinavir,Inhibitor
109,Loratadine,"Inducer,Inhibitor"
110,Losartan,Inhibitor
111,Lumiracoxib,Substrate
112,Lynestrenol,"Inducer,Substrate"
113,Medazepam,Substrate
114,Medrysone,Inhibitor
115,Melatonin,Substrate
116,Memantine,Inhibitor
117,Mephenytoin,"Inhibitor,Substrate"
118,Meprobamate,Substrate
119,Mesuximide,"Inhibitor,Substrate"
120,Methadone,Substrate
121,Methazolamide,Inhibitor
