,drug_name,drug_type
0,Acetazolamide,Inhibitor
1,Adefovir Dipivoxil,Inhibitor
2,Ademetionine,Inhibitor
3,Adinazolam,Substrate
4,Albendazole,Substrate
5,Alfentanil,Substrate
6,Alfuzosin,Substrate
7,Allylestrenol,Substrate
8,Almotriptan,Substrate
9,Alosetron,Substrate
10,Alprazolam,Substrate
11,Ambroxol,"Inhibitor,Substrate"
12,Aminogluthetimide,Inducer
13,Aminophenazone,Substrate
14,Aminophylline,Substrate
15,Amiodarone,"Substrate,Inhibitor"
16,Amitriptyline,"Inhibitor,Substrate"
17,Amlodipine,"Inhibitor,Substrate"
18,Amprenavir,"Inhibitor,Substrate"
19,Anastrozole,Inhibitor
20,Aprepitant,"Substrate,Inducer,Inhibitor"
21,Argatroban,Substrate
22,Aripiprazole,Substrate
23,Arsenic Trioxide,Inhibitor
24,Artemether,Substrate
25,Artemisinin,"Inducer,Substrate"
26,Astemizole,"Inhibitor,Substrate"
27,Atazanavir,"Inhibitor,Substrate"
28,Atenolol,Substrate
29,Atomoxetine,Inhibitor
30,Atorvastatin,"Substrate,Inhibitor"
31,Azatadine,Inducer
32,Azelastine,"Inhibitor,Substrate"
33,Azithromycin,"Inhibitor,Substrate"
34,Aztreonam,Substrate
35,Barnidipine,"Substrate,Inhibitor"
36,Benidipine,Inhibitor
37,Benzethonium,Inhibitor
38,Benzocaine,Inhibitor
39,Benzydamine,Substrate
40,Bergapten,Inhibitor
41,Betamethason,Inhibitor
42,Bexarotene,"Substrate,Inducer"
43,Bezafibrate,Substrate
44,Bicalutamide,"Substrate,Inhibitor"
45,Bifonazole,Inhibitor
46,Bisoprolol,Substrate
47,Bortezomib,"Substrate,Inhibitor"
48,Bosentan,"Substrate,Inducer"
49,Brinzolamide,Substrate
50,Bromazepam,Substrate
51,Bromocriptine,"Substrate,Inhibitor"
52,Bromperidol,Substrate
53,Brompheniramine,Substrate
54,Brotizolam,Substrate
55,Budesonide,Substrate
56,Bupivacaine,Substrate
57,Buprenorphine,"Inhibitor,Substrate"
58,Bupropion,Substrate
59,Buspirone,Substrate
60,Busulfan,Substrate
61,Caffeine,"Inhibitor,Substrate"
62,Calcitriol,Inducer
63,Capsaicin,Substrate
64,Carbamazepine,"Substrate,Inducer"
65,Carbinoxamine,Substrate
66,Carboplatin,Inducer
67,Carvedilol,Substrate
68,Caspofungin,Inhibitor
69,Cefalexin,Substrate
70,Celecoxib,Substrate
71,Cerivastatin,"Inhibitor,Substrate"
72,Cetirizine,Substrate
73,Cevimeline,Substrate
74,Chinin,"Substrate,Inhibitor,Inducer"
75,Chloramphenicol,Inhibitor
76,Chlordiazepoxide,Substrate
77,Chlormadinone,Inhibitor
78,Chloroquine,Substrate
79,Chlorphenamine,Substrate
80,Chlorpromazine,"Inducer,Substrate"
81,Chlorprothixene,Substrate
82,Chlorzoxazone,"Inhibitor,Substrate"
83,Cibenzoline,Substrate
84,Ciclesonide,Substrate
85,Ciclosporin,"Inducer,Inhibitor,Substrate"
86,Cilnidipine,Substrate
87,Cilostazol,Substrate
88,Cimetidine,Inhibitor
89,Cinacalcet,Substrate
90,Ciprofibrate,Substrate
91,Ciprofloxacin,Inhibitor
92,Cisapride,"Inhibitor,Substrate"
93,Citalopram,Substrate
94,Clarithromycin,"Substrate,Inhibitor"
95,Clemastine,Inhibitor
96,Clindamycin,"Inhibitor,Substrate"
97,Clobazam,Substrate
98,Clofazimine,"Inhibitor,Substrate"
99,Clofenotane,Inducer
100,Clofibrate,"Substrate,Inducer"
101,Clomethiazole,Substrate
102,Clomifene,Inhibitor
103,Clomipramine,Substrate
104,Clonazepam,Substrate
105,Clopidogrel,Substrate
106,Clotiazepam,"Substrate,Inhibitor"
107,Clotrimazole,"Inducer,Inhibitor"
108,Clozapine,"Inducer,Substrate,Inhibitor"
109,Cocaine,"Substrate,Inhibitor,Inducer"
110,Codeine,Substrate
111,Colchicine,"Inducer,Inhibitor,Substrate"
112,Cortisone,Substrate
113,Cyamemazine,Substrate
114,Cyclobarbital,Inducer
115,Cyclobenzaprine,Substrate
116,Cyclophosphamide,"Inducer,Inhibitor,Substrate"
117,Cytarabine,Substrate
118,Danazol,Inhibitor
119,Dantrolene,Substrate
