,drug_name,drug_type
0,Acetylcysteine,Inducer
1,Ajmaline,Substrate
2,Aldosterone,Substrate
3,Arsenic Trioxide,"Inhibitor,Inducer"
4,Artemisinin,Inducer
5,Atorvastatin,"Substrate,Inhibitor"
6,Bromocriptine,Inhibitor
7,Budesonide,Inducer
8,Carbamazepine,Inducer
9,Celecoxib,Inhibitor
10,Ciclosporin,"Substrate,Inducer,Inhibitor"
11,Cisplatin,Inducer
12,Clopidogrel,Substrate
13,Colchicine,Substrate
14,Cytarabine,"Inducer,Inhibitor"
15,Dactinomycin,Inducer
16,Daunorubicin,"Inducer,Substrate"
17,Dexamethasone,"Substrate,Inducer"
18,Diclofenac,Inducer
19,Dicloxacillin,Substrate
20,Digitoxin,Substrate
21,Digoxin,"Substrate,Inducer"
22,Diltiazem,Inhibitor
23,Dimethyl Sulfoxide,Inducer
24,Dinoprostone,Inducer
25,Dipyridamole,Inhibitor
26,Docetaxel,"Substrate,Inducer"
27,Doxorubicin,"Substrate,Inhibitor,Inducer"
28,Epinephrine,"Inducer,Substrate"
29,Epirubicin,Inducer
30,Erythromycin,Substrate
31,Etoposide,"Substrate,Inducer"
32,Ezetimibe,Substrate
33,Fenbufen,Inducer
34,Fexofenadine,Substrate
35,Flucloxacillin,Inducer
36,Fluorouracil,Inducer
37,Folic Acid,Substrate
38,G-strophanthin,Inducer
39,Glutathione,Substrate
40,Hydrocortisone,Substrate
41,Hydroxycarbamide,Inducer
42,Imatinib,Substrate
43,Indometacin,"Inhibitor,Inducer,Substrate"
44,Insulin (human),Inhibitor
45,Irinotecan,Substrate
46,Ivermectin,Substrate
47,Ketoconazole,Substrate
48,Loperamide,Substrate
49,Lopinavir,Substrate
50,Losartan,Substrate
51,Metformin,Inhibitor
52,Methadone,Substrate
53,Mitomycin,Substrate
54,Mitoxantrone,Inducer
55,Morphine,Substrate
56,Nelfinavir,Substrate
57,Oxycodone,Inducer
58,Paclitaxel,"Substrate,Inducer"
59,Paracetamol,Inducer
60,Prednisolone,Substrate
61,Probenecid,Inhibitor
62,Quinidine,Substrate
63,Rescinnamine,Inducer
64,Reserpine,"Inhibitor,Inducer"
65,Retinol,Inhibitor
66,Rifampicin,Inducer
67,Risperidone,Substrate
68,Rosuvastatin,Substrate
69,Saquinavir,"Substrate,Inducer"
70,Sirolimus,Substrate
71,Tacrolimus,Substrate
72,Talinolol,Substrate
73,Tamoxifen,Inducer
74,Trabectedin,Inhibitor
75,Tretinoin,Inducer
76,Trifluoperazine,Inhibitor
77,Tryptophan,Substrate
78,Ursodeoxycholic Acid,Inducer
79,Valproic Acid,Inducer
80,Venlafaxine,Inducer
81,Verapamil,"Substrate,Inducer,Inhibitor"
82,Vinblastine,Substrate
83,Vincamine,Inhibitor
84,Vincristine,"Inducer,Substrate"
85,Yohimbin,Inducer
