,Target,Dataset_Size,Actives,Inactives
0,11B1_ind,1525,3,1522
1,11B2_ind,1525,3,1522
2,17A_ind,1525,2,1523
3,19A_ind,1525,13,1512
4,1A1_ind,1525,49,1476
5,1A2_ind,1525,39,1486
6,1B1_ind,1525,13,1512
7,21A_ind,1525,1,1524
8,24A_ind,1525,1,1524
9,27A_ind,1525,2,1523
10,2A13_ind,1525,2,1523
11,2A6_ind,1525,7,1518
12,2B6_ind,1525,27,1498
13,2C18_ind,1525,4,1521
14,2C19_ind,1525,16,1509
15,2C8_ind,1525,17,1508
16,2C9_ind,1525,28,1497
17,2D6_ind,1525,13,1512
18,2E1_ind,1525,28,1497
19,2F1_ind,1525,1,1524
20,2J2_ind,1525,1,1524
21,2W1_ind,1525,1,1524
22,3A43_ind,1525,3,1522
23,3A4_ind,1525,101,1424
24,3A5_ind,1525,30,1495
25,3A7_ind,1525,13,1512
26,4A11_ind,1525,8,1517
27,4B1_ind,1525,4,1521
28,4F22_ind,1525,1,1524
29,7A1_ind,1525,2,1523
30,8B1_ind,1525,1,1524
31,ATP_binding_cassette_sub_family_A_member_3_ind,1525,2,1523
32,ATP_binding_cassette_sub_family_G_member_2_ind,1525,11,1514
33,ATP_binding_cassette_transporter_sub_family_C_member_11_ind,1525,2,1523
34,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_ind,1525,3,1522
35,Arachidonic_acid_epoxygenase_ind,1525,1,1524
36,Aromatase_Estrogen_synthetase_ind,1525,13,1512
37,Bile_salt_export_pump_ind,1525,3,1522
38,CP2AD_ind,1525,2,1523
39,CP2CI_ind,1525,4,1521
40,CP2F1_ind,1525,1,1524
41,CP343_ind,1525,3,1522
42,CP4FN_ind,1525,1,1524
43,Canalicular_multispecific_organic_anion_transporter_1_ind,1525,15,1510
44,Canalicular_multispecific_organic_anion_transporter_2_ind,1525,5,1520
45,Cholesterol_7_alpha_monooxygenase_Cholesterol_7_alpha_hydroxylase_ind,1525,2,1523
46,Copper_transporting_ATPase_2_ind,1525,1,1524
47,Coumarin_7_hydroxylase_ind,1525,7,1518
48,GST_ind,1525,48,1477
49,HLp2_ind,1525,30,1495
50,High_affinity_copper_uptake_protein_1_ind,1525,1,1524
51,Ileal_sodiumbile_acid_cotransporter_ind,1525,7,1518
52,MET_ind,1525,16,1509
53,Methyltransferase_ind,1525,16,1509
54,Monocarboxylate_transporter_1_ind,1525,3,1522
55,Multidrug_resistance_associated_protein_1_ind,1525,13,1512
56,Multidrug_resistance_associated_protein_4_ind,1525,2,1523
57,Multidrug_resistance_associated_protein_5_ind,1525,2,1523
58,Multidrug_resistance_associated_protein_7_ind,1525,2,1523
59,Multidrug_resistance_protein_1_ind,1525,42,1483
60,Multidrug_resistance_protein_3_ind,1525,4,1521
61,NAT_ind,1525,30,1495
62,N_acetyltransferase_ind,1525,30,1495
63,Neutral_amino_acid_transporter_B0_ind,1525,2,1523
64,P450_HFLA_ind,1525,13,1512
65,P450_HP_ind,1525,4,1521
66,Proton_coupled_folate_transporter_ind,1525,1,1524
67,SUL_ind,1525,15,1510
68,S_mephenytoin_4_hydroxylase_ind,1525,17,1508
69,Sodium_coupled_neutral_amino_acid_transporter_3_ind,1525,1,1524
70,Sodium_dependent_noradrenaline_transporter_ind,1525,4,1521
71,Sodiumbile_acid_cotransporter_ind,1525,3,1522
72,Solute_carrier_family_12_member_1_ind,1525,6,1519
73,Solute_carrier_family_12_member_2_ind,1525,8,1517
74,Solute_carrier_family_12_member_4_ind,1525,1,1524
75,Solute_carrier_family_15_member_1_ind,1525,2,1523
76,Solute_carrier_family_22_member_1_ind,1525,3,1522
77,Solute_carrier_family_22_member_2_ind,1525,1,1524
78,Solute_carrier_family_22_member_7_ind,1525,1,1524
79,Solute_carrier_family_22_member_8_ind,1525,1,1524
80,Solute_carrier_family_28_member_3_ind,1525,1,1524
81,Solute_carrier_organic_anion_transporter_family_member_1A2_ind,1525,1,1524
82,Solute_carrier_organic_anion_transporter_family_member_1B1_ind,1525,4,1521
83,Steroid_11_beta_hydroxylase_ind,1525,3,1522
84,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_ind,1525,2,1523
85,Steroid_21_hydroxylase_21_OHase_ind,1525,1,1524
86,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_ind,1525,2,1523
87,Sulfotransferase_ind,1525,15,1510
88,UGT_ind,1525,20,1505
