,Target,Dataset_Size,Actives,Inactives
0,11B1_sub,1525,3,1522
1,11B2_sub,1525,3,1522
2,17A_sub,1525,3,1522
3,19A_sub,1525,8,1517
4,1A1_sub,1525,49,1476
5,1A2_sub,1525,314,1211
6,1B1_sub,1525,17,1508
7,21A_sub,1525,2,1523
8,24A_sub,1525,2,1523
9,26B_sub,1525,1,1524
10,27A_sub,1525,2,1523
11,2A13_sub,1525,3,1522
12,2A6_sub,1525,47,1478
13,2B6_sub,1525,70,1455
14,2C18_sub,1525,22,1503
15,2C19_sub,1525,278,1247
16,2C8_sub,1525,189,1336
17,2C9_sub,1525,329,1196
18,2D6_sub,1525,429,1096
19,2E1_sub,1525,169,1356
20,2F1_sub,1525,2,1523
21,2J2_sub,1525,3,1522
22,2S1_sub,1525,1,1524
23,3A43_sub,1525,5,1520
24,3A4_sub,1525,707,818
25,3A5_sub,1525,124,1401
26,3A7_sub,1525,94,1431
27,46A_sub,1525,5,1520
28,4A11_sub,1525,2,1523
29,4B1_sub,1525,3,1522
30,4F11_sub,1525,1,1524
31,4F2_sub,1525,4,1521
32,4F3_sub,1525,1,1524
33,ATP_binding_cassette_sub_family_A_member_3_sub,1525,1,1524
34,ATP_binding_cassette_sub_family_G_member_2_sub,1525,36,1489
35,ATP_binding_cassette_transporter_sub_family_C_member_11_sub,1525,2,1523
36,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_sub,1525,3,1522
37,Arachidonic_acid_epoxygenase_sub,1525,3,1522
38,Aromatase_Estrogen_synthetase_sub,1525,8,1517
39,Bile_salt_export_pump_sub,1525,3,1522
40,CP2AD_sub,1525,3,1522
41,CP2CI_sub,1525,22,1503
42,CP2F1_sub,1525,2,1523
43,CP343_sub,1525,5,1520
44,CP4FB_sub,1525,1,1524
45,Canalicular_multispecific_organic_anion_transporter_1_sub,1525,39,1486
46,Canalicular_multispecific_organic_anion_transporter_2_sub,1525,3,1522
47,Cholesterol_24_hydroxylase_sub,1525,5,1520
48,Choline_transporter_like_protein_2_sub,1525,1,1524
49,Chromaffin_granule_amine_transporter_sub,1525,2,1523
50,Copper_transporting_ATPase_1_sub,1525,1,1524
51,Copper_transporting_ATPase_2_sub,1525,1,1524
52,Coumarin_7_hydroxylase_sub,1525,47,1478
53,Electrogenic_sodium_bicarbonate_cotransporter_1_sub,1525,1,1524
54,Electroneutral_sodium_bicarbonate_exchanger_1_sub,1525,1,1524
55,Equilibrative_nucleoside_transporter_1_sub,1525,1,1524
56,GST_sub,1525,20,1505
57,HLp2_sub,1525,124,1401
58,High_affinity_copper_uptake_protein_1_sub,1525,3,1522
59,MET_sub,1525,16,1509
60,Methyltransferase_sub,1525,16,1509
61,Monocarboxylate_transporter_10_sub,1525,1,1524
62,Monocarboxylate_transporter_1_sub,1525,4,1521
63,Monocarboxylate_transporter_2_sub,1525,1,1524
64,Monocarboxylate_transporter_4_sub,1525,1,1524
65,Multidrug_and_toxin_extrusion_protein_1_sub,1525,4,1521
66,Multidrug_resistance_associated_protein_1_sub,1525,19,1506
67,Multidrug_resistance_associated_protein_4_sub,1525,11,1514
68,Multidrug_resistance_associated_protein_5_sub,1525,4,1521
69,Multidrug_resistance_protein_1_sub,1525,46,1479
70,Multidrug_resistance_protein_3_sub,1525,1,1524
71,NAT_sub,1525,19,1506
72,N_acetyltransferase_sub,1525,19,1506
73,Neutral_amino_acid_transporter_B0_sub,1525,8,1517
74,P450_HFLA_sub,1525,94,1431
75,P450_HP_sub,1525,3,1522
76,Probable_low_affinity_copper_uptake_protein_2_sub,1525,1,1524
77,Proton_coupled_amino_acid_transporter_1_sub,1525,3,1522
78,Proton_coupled_folate_transporter_sub,1525,3,1522
79,SUL_sub,1525,25,1500
80,S_mephenytoin_4_hydroxylase_sub,1525,106,1419
81,Sodium_coupled_neutral_amino_acid_transporter_3_sub,1525,7,1518
82,Sodium_dependent_noradrenaline_transporter_sub,1525,4,1521
83,Sodium_dependent_serotonin_transporter_sub,1525,1,1524
84,Sodiumbile_acid_cotransporter_sub,1525,2,1523
