,Target,Dataset_Size,Actives,Inactives
0,11B1_inh,1525,13,1512
1,11B2_inh,1525,8,1517
2,17A_inh,1525,4,1521
3,19A_inh,1525,34,1491
4,1A1_inh,1525,45,1480
5,1A2_inh,1525,124,1401
6,1B1_inh,1525,13,1512
7,24A_inh,1525,1,1524
8,27A_inh,1525,2,1523
9,27B_inh,1525,1,1524
10,2A13_inh,1525,1,1524
11,2A6_inh,1525,39,1486
12,2B6_inh,1525,44,1481
13,2C18_inh,1525,3,1522
14,2C19_inh,1525,109,1416
15,2C8_inh,1525,96,1429
16,2C9_inh,1525,220,1305
17,2D6_inh,1525,245,1280
18,2E1_inh,1525,72,1453
19,2F1_inh,1525,1,1524
20,2J2_inh,1525,3,1522
21,2W1_inh,1525,1,1524
22,3A43_inh,1525,1,1524
23,3A4_inh,1525,313,1212
24,3A5_inh,1525,29,1496
25,3A7_inh,1525,19,1506
26,4A11_inh,1525,1,1524
27,4F2_inh,1525,2,1523
28,51A_inh,1525,4,1521
29,7A1_inh,1525,11,1514
30,7B1_inh,1525,1,1524
31,8A1_inh,1525,2,1523
32,8B1_inh,1525,1,1524
33,ATP_binding_cassette_sub_family_A_member_3_inh,1525,1,1524
34,ATP_binding_cassette_sub_family_G_member_2_inh,1525,24,1501
35,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_inh,1525,8,1517
36,Arachidonic_acid_epoxygenase_inh,1525,3,1522
37,Aromatase_Estrogen_synthetase_inh,1525,34,1491
38,Bile_salt_export_pump_inh,1525,6,1519
39,CP2AD_inh,1525,1,1524
40,CP2CI_inh,1525,3,1522
41,CP2F1_inh,1525,1,1524
42,CP343_inh,1525,1,1524
43,Calcidiol_1_monooxygenase_25_OHD_1_alpha_hydroxylase_25_hydroxyvitamin_D3_1_alpha_hydroxylase_VD3_1A_hydroxylase_P450C1_alpha_50VD1_alpha_inh,1525,1,1524
44,Canalicular_multispecific_organic_anion_transporter_1_inh,1525,23,1502
45,Canalicular_multispecific_organic_anion_transporter_2_inh,1525,2,1523
46,Cholesterol_7_alpha_monooxygenase_Cholesterol_7_alpha_hydroxylase_inh,1525,11,1514
47,Chromaffin_granule_amine_transporter_inh,1525,2,1523
48,Coumarin_7_hydroxylase_inh,1525,39,1486
49,Electrogenic_sodium_bicarbonate_cotransporter_1_inh,1525,1,1524
50,GST_inh,1525,35,1490
51,HLp2_inh,1525,29,1496
52,High_affinity_copper_uptake_protein_1_inh,1525,3,1522
53,MET_inh,1525,38,1487
54,Methyltransferase_inh,1525,38,1487
55,Monocarboxylate_transporter_1_inh,1525,2,1523
56,Monocarboxylate_transporter_2_inh,1525,1,1524
57,Multidrug_and_toxin_extrusion_protein_1_inh,1525,2,1523
58,Multidrug_resistance_associated_protein_1_inh,1525,16,1509
59,Multidrug_resistance_associated_protein_4_inh,1525,9,1516
60,Multidrug_resistance_associated_protein_5_inh,1525,1,1524
61,Multidrug_resistance_associated_protein_7_inh,1525,1,1524
62,Multidrug_resistance_protein_1_inh,1525,19,1506
63,Multidrug_resistance_protein_3_inh,1525,1,1524
64,NAT_inh,1525,31,1494
65,N_acetyltransferase_inh,1525,31,1494
66,P450_HFLA_inh,1525,19,1506
67,Probable_low_affinity_copper_uptake_protein_2_inh,1525,1,1524
68,Prostacyclin_synthase_Prostaglandin_I2_synthase_PTGIS_inh,1525,2,1523
69,Proton_coupled_amino_acid_transporter_1_inh,1525,2,1523
70,Proton_coupled_folate_transporter_inh,1525,1,1524
71,SUL_inh,1525,17,1508
72,S_mephenytoin_4_hydroxylase_inh,1525,96,1429
73,Sodium_coupled_neutral_amino_acid_transporter_3_inh,1525,3,1522
74,Sodium_dependent_noradrenaline_transporter_inh,1525,6,1519
75,Sodiumbile_acid_cotransporter_inh,1525,2,1523
76,Solute_carrier_family_12_member_1_inh,1525,2,1523
77,Solute_carrier_family_12_member_2_inh,1525,6,1519
78,Solute_carrier_family_12_member_5_inh,1525,1,1524
79,Solute_carrier_family_15_member_1_inh,1525,3,1522
80,Solute_carrier_family_15_member_2_inh,1525,3,1522
81,Solute_carrier_family_22_member_11_inh,1525,2,1523
82,Solute_carrier_family_22_member_1_inh,1525,8,1517
83,Solute_carrier_family_22_member_2_inh,1525,8,1517
84,Solute_carrier_family_22_member_4_inh,1525,1,1524
85,Solute_carrier_family_22_member_5_inh,1525,1,1524
86,Solute_carrier_family_22_member_6_inh,1525,9,1516
87,Solute_carrier_family_22_member_7_inh,1525,3,1522
88,Solute_carrier_family_22_member_8_inh,1525,15,1510
89,Solute_carrier_family_28_member_3_inh,1525,1,1524
90,Solute_carrier_organic_anion_transporter_family_member_1A2_inh,1525,8,1517
91,Solute_carrier_organic_anion_transporter_family_member_1B1_inh,1525,12,1513
92,Solute_carrier_organic_anion_transporter_family_member_1B3_inh,1525,7,1518
93,Solute_carrier_organic_anion_transporter_family_member_2A1_inh,1525,1,1524
94,Solute_carrier_organic_anion_transporter_family_member_2B1_inh,1525,2,1523
95,Steroid_11_beta_hydroxylase_inh,1525,13,1512
96,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_inh,1525,4,1521
97,Sterol_14_alpha_demethylase_Lanosterol_14_alpha_demethylase_inh,1525,4,1521
98,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_inh,1525,2,1523
99,Sulfotransferase_inh,1525,17,1508
100,UGT_inh,1525,31,1494
