0,179952
1,CHEMBL495075
2,CHEMBL1009484
3,468871
4,
5,Homo sapiens
6,H
7,=
8,1900.0
9,nM
10,IC50
11,
12,43815
13,101555
14,PROTEIN
15,SINGLE PROTEIN
16,8
pref_name,"['Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43', 'Cytochrome P450 3A43']"
