,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,7975,CHEMBL524809,CHEMBL997007,511469,Homo sapiens,Homo sapiens,D,=,1.0,nM,ED50,,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
1,7976,CHEMBL524615,CHEMBL997007,511539,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
2,7977,CHEMBL497279,CHEMBL997007,511538,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
3,7978,CHEMBL497110,CHEMBL997007,511537,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
4,7979,CHEMBL524809,CHEMBL997008,511469,Homo sapiens,Homo sapiens,D,,,,Activity,Active,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
5,7980,CHEMBL497696,CHEMBL997011,511470,Homo sapiens,Homo sapiens,D,=,42.0,%,Inhibition,,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
6,7981,CHEMBL523260,CHEMBL997012,511536,Homo sapiens,Homo sapiens,D,=,36.0,%,Inhibition,,44111,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
7,7982,CHEMBL182310,CHEMBL2155872,310169,Homo sapiens,Homo sapiens,D,<,5000.0,nM,IC50,,65414,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
8,7983,CHEMBL3508698,CHEMBL3509252,1923867,Homo sapiens,Homo sapiens,D,=,11300.0,nM,Km,OUTCOME = Detected,91892,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
9,7984,CHEMBL3508698,CHEMBL3509261,1923867,Homo sapiens,Homo sapiens,D,=,89.1,pmol.min.mg-1,Vmax,OUTCOME = Detected,91892,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
10,7985,CHEMBL3508698,CHEMBL3509270,1923867,Homo sapiens,Homo sapiens,D,=,7.9,ul.min.nmol-1,CL,OUTCOME = Detected,91892,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
11,7986,CHEMBL1650002,CHEMBL3536993,1061352,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91988,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
12,7987,CHEMBL3526190,CHEMBL3537358,1923884,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,91988,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
13,7988,CHEMBL3526818,CHEMBL3537258,1924519,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_not_detected,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
14,7989,CHEMBL157101,CHEMBL3532910,255904,Homo sapiens,Homo sapiens,D,=,1600.0,nM,IC50,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
15,7990,CHEMBL157101,CHEMBL3532911,255904,Homo sapiens,Homo sapiens,D,=,740.0,nM,Ki,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
16,7991,CHEMBL3526818,CHEMBL3535835,1924519,Homo sapiens,Homo sapiens,D,=,45000.0,nM,Km,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
17,7992,CHEMBL3526818,CHEMBL3535836,1924519,Homo sapiens,Homo sapiens,D,=,1049.0,pmol/min,Vmax,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
18,7993,CHEMBL3526818,CHEMBL3535837,1924519,Homo sapiens,Homo sapiens,D,=,23.0,uL/min,CL,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
19,7994,CHEMBL3526818,CHEMBL3535848,1924519,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_not_detected,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
20,7995,CHEMBL3526819,CHEMBL3532998,1924520,Homo sapiens,Homo sapiens,D,=,2.99,%,Compound recovery,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
21,7996,CHEMBL3527528,CHEMBL3532998,1925236,Homo sapiens,Homo sapiens,D,=,0.31,%,Compound recovery,,92030,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
22,7997,CHEMBL3542381,CHEMBL3532135,1925508,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,92051,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
23,7998,CHEMBL3542336,CHEMBL3529776,1925463,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,metabolite_detected,92051,10743,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 4F2
