0,179953
1,CHEMBL552240
2,CHEMBL1035291
3,561513
4,
5,Homo sapiens
6,H
7,=
8,24000.0
9,nM
10,IC50
11,
12,47370
13,102388
14,PROTEIN
15,SINGLE PROTEIN
16,8
pref_name,"['Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c', 'Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c']"
