,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,6,CHEMBL1917511,CHEMBL1919560,1264978,Homo sapiens,Homo sapiens,D,>,30000.0,nM,IC50,,60150,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
1,7,CHEMBL1917511,CHEMBL1919561,1264978,Homo sapiens,Homo sapiens,D,>,30000.0,nM,IC50,,60150,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
2,8,CHEMBL531475,CHEMBL2043697,532104,Homo sapiens,Homo sapiens,D,>,30.0,uM,INH,,62287,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
3,9,CHEMBL2041980,CHEMBL2043697,1348407,Homo sapiens,Homo sapiens,D,>,20.0,uM,INH,,62287,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
4,10,CHEMBL137192,CHEMBL2061440,225364,Homo sapiens,Homo sapiens,D,=,600.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
5,11,CHEMBL1863160,CHEMBL2061440,1203731,Homo sapiens,Homo sapiens,D,=,1900.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
6,12,CHEMBL1863004,CHEMBL2061440,1203573,Homo sapiens,Homo sapiens,D,=,1400.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
7,13,CHEMBL1863379,CHEMBL2061440,1203952,Homo sapiens,Homo sapiens,D,=,7600.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
8,14,CHEMBL1863325,CHEMBL2061440,1203897,Homo sapiens,Homo sapiens,D,=,4100.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
9,15,CHEMBL1862838,CHEMBL2061440,1203406,Homo sapiens,Homo sapiens,D,=,900.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
10,16,CHEMBL1863146,CHEMBL2061440,1203717,Homo sapiens,Homo sapiens,D,=,2600.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
11,17,CHEMBL1863039,CHEMBL2061440,1203609,Homo sapiens,Homo sapiens,D,=,3900.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
12,18,CHEMBL1863383,CHEMBL2061440,1203956,Homo sapiens,Homo sapiens,D,=,1400.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
13,19,CHEMBL1863499,CHEMBL2061440,1204073,Homo sapiens,Homo sapiens,D,=,1100.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
14,20,CHEMBL1863183,CHEMBL2061440,1203754,Homo sapiens,Homo sapiens,D,=,5000.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
15,21,CHEMBL1863007,CHEMBL2061440,1203576,Homo sapiens,Homo sapiens,D,=,4400.0,nM,IC50,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
16,22,CHEMBL28971,CHEMBL2061441,39585,Homo sapiens,Homo sapiens,D,=,66.0,%,Inhibition,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
17,23,CHEMBL1397,CHEMBL2061441,334337,Homo sapiens,Homo sapiens,D,=,98.0,%,Inhibition,,62701,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
18,24,CHEMBL1771,CHEMBL2174394,598402,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,Not Active,65901,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
19,25,CHEMBL1771,CHEMBL2174395,598402,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,Active,65901,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
20,26,CHEMBL1771,CHEMBL2174396,598402,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,Active,65901,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
21,27,CHEMBL1771,CHEMBL2174402,598402,Homo sapiens,Homo sapiens,D,,,,Drug metabolism,Active,65901,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
22,28,CHEMBL2203661,CHEMBL2208570,1443267,Homo sapiens,Homo sapiens,D,,,,Inhibition,Not Active,66821,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
23,29,CHEMBL2203661,CHEMBL2208571,1443267,Homo sapiens,Homo sapiens,D,,,,Activity,Not Active,66821,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
24,30,CHEMBL1863136,CHEMBL2343820,1203707,Homo sapiens,Homo sapiens,D,=,25000.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
25,31,CHEMBL1863090,CHEMBL2343820,1203660,Homo sapiens,Homo sapiens,D,=,6900.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
26,32,CHEMBL1863306,CHEMBL2343820,1203878,Homo sapiens,Homo sapiens,D,=,2900.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
27,33,CHEMBL1863046,CHEMBL2343820,1203616,Homo sapiens,Homo sapiens,D,=,1900.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
28,34,CHEMBL1863002,CHEMBL2343820,1203571,Homo sapiens,Homo sapiens,D,=,300.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
29,35,CHEMBL1863273,CHEMBL2343820,1203845,Homo sapiens,Homo sapiens,D,=,3600.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
30,36,CHEMBL1863145,CHEMBL2343820,1203716,Homo sapiens,Homo sapiens,D,=,1300.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
31,37,CHEMBL1863056,CHEMBL2343820,1203626,Homo sapiens,Homo sapiens,D,=,810.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
32,38,CHEMBL1863288,CHEMBL2343820,1203860,Homo sapiens,Homo sapiens,D,=,1000.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
33,39,CHEMBL1863131,CHEMBL2343820,1203702,Homo sapiens,Homo sapiens,D,=,5600.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
34,40,CHEMBL1862798,CHEMBL2343820,1203365,Homo sapiens,Homo sapiens,D,=,1900.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
35,41,CHEMBL2334336,CHEMBL2343820,1523984,Homo sapiens,Homo sapiens,D,=,600.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
36,42,CHEMBL1862975,CHEMBL2343820,1203544,Homo sapiens,Homo sapiens,D,=,7400.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
37,43,CHEMBL1862938,CHEMBL2343820,1203507,Homo sapiens,Homo sapiens,D,=,7000.0,nM,IC50,,72689,104999,PROTEIN,PROTEIN FAMILY,5,Cytochrome P450 3A4/3A5
