,Unnamed: 0,compound_id,assay_id,compound_molregno,assay_organism,td_organism,relationship_type,standard_relation,standard_value,standard_units,standard_type,activity_comment,doc_id,tid,parent_type,target_type,confidence_score,pref_name
0,39376,CHEMBL9298,CHEMBL661151,4920,Bos taurus,Homo sapiens,H,=,80.0,%,Inhibition,,12892,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
1,39377,CHEMBL304222,CHEMBL661152,103773,Bos taurus,Homo sapiens,H,=,36.0,%,Inhibition,,12892,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
2,39378,CHEMBL66673,CHEMBL661152,103425,Bos taurus,Homo sapiens,H,=,38.0,%,Inhibition,,12892,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
3,39379,CHEMBL294361,CHEMBL661152,102921,Bos taurus,Homo sapiens,H,=,45.0,%,Inhibition,,12892,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
4,39380,CHEMBL304903,CHEMBL661152,103748,Bos taurus,Homo sapiens,H,=,55.0,%,Inhibition,,12892,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
5,39381,CHEMBL353068,CHEMBL666526,281631,Bos taurus,Homo sapiens,H,=,19000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
6,39382,CHEMBL166709,CHEMBL666526,281780,Bos taurus,Homo sapiens,H,=,21000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
7,39383,CHEMBL424556,CHEMBL666526,281745,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
8,39384,CHEMBL169251,CHEMBL666526,280779,Bos taurus,Homo sapiens,H,=,73000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
9,39385,CHEMBL168636,CHEMBL666526,281384,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
10,39386,CHEMBL90585,CHEMBL666526,147206,Bos taurus,Homo sapiens,H,=,12000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
11,39387,CHEMBL169449,CHEMBL666526,280889,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
12,39388,CHEMBL304903,CHEMBL666526,103748,Bos taurus,Homo sapiens,H,=,55000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
13,39389,CHEMBL168434,CHEMBL666526,280814,Bos taurus,Homo sapiens,H,=,43000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
14,39390,CHEMBL352645,CHEMBL666526,280427,Bos taurus,Homo sapiens,H,=,90000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
15,39391,CHEMBL440930,CHEMBL666526,280810,Bos taurus,Homo sapiens,H,=,24000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
16,39392,CHEMBL166789,CHEMBL666526,280396,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
17,39393,CHEMBL415753,CHEMBL666526,280781,Bos taurus,Homo sapiens,H,=,20000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
18,39394,CHEMBL169664,CHEMBL666526,281633,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
19,39395,CHEMBL168762,CHEMBL666526,281668,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
20,39396,CHEMBL413344,CHEMBL666526,281385,Bos taurus,Homo sapiens,H,=,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
21,39397,CHEMBL168444,CHEMBL666526,281667,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
22,39398,CHEMBL169086,CHEMBL666526,280817,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
23,39399,CHEMBL168700,CHEMBL666526,281386,Bos taurus,Homo sapiens,H,=,14000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
24,39400,CHEMBL355681,CHEMBL666526,282176,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
25,39401,CHEMBL424203,CHEMBL666526,280428,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
26,39402,CHEMBL28689,CHEMBL666526,38719,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
27,39403,CHEMBL166974,CHEMBL666526,281744,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
28,39404,CHEMBL433728,CHEMBL663826,280890,Bos taurus,Homo sapiens,H,<,10000.0,nM,IC50,,13793,11541,PROTEIN,SINGLE PROTEIN,8,Cytochrome P450 11B2
29,39405,CHEMBL177468,CHEMBL831483,296528,Homo sapiens,Homo sapiens,D,=,41.0,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
30,39406,CHEMBL178036,CHEMBL831483,296557,Homo sapiens,Homo sapiens,D,=,11.0,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
31,39407,CHEMBL177413,CHEMBL831483,296577,Homo sapiens,Homo sapiens,D,,,,IC50,Not Determined,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
32,39408,CHEMBL367483,CHEMBL831483,296454,Homo sapiens,Homo sapiens,D,=,22.7,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
33,39409,CHEMBL177921,CHEMBL831483,296460,Homo sapiens,Homo sapiens,D,=,35.9,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
34,39410,CHEMBL175091,CHEMBL831483,296475,Homo sapiens,Homo sapiens,D,=,35.7,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
35,39411,CHEMBL175144,CHEMBL831483,296476,Homo sapiens,Homo sapiens,D,=,47.3,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
36,39412,CHEMBL359817,CHEMBL831483,296446,Homo sapiens,Homo sapiens,D,=,16.7,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
37,39413,CHEMBL362187,CHEMBL831483,296516,Homo sapiens,Homo sapiens,D,=,24.8,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
38,39414,CHEMBL367719,CHEMBL831483,296527,Homo sapiens,Homo sapiens,D,=,9.6,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
39,39415,CHEMBL179247,CHEMBL831483,296447,Homo sapiens,Homo sapiens,D,=,13.9,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
40,39416,CHEMBL177692,CHEMBL831483,296433,Homo sapiens,Homo sapiens,D,=,88.8,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
41,39417,CHEMBL175688,CHEMBL831483,296439,Homo sapiens,Homo sapiens,D,=,3.7,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
42,39418,CHEMBL177293,CHEMBL831483,296440,Homo sapiens,Homo sapiens,D,=,92.8,nM,IC50,,21568,11541,PROTEIN,SINGLE PROTEIN,9,Cytochrome P450 11B2
