,Output_Target,Train_positive_size,Cohen_Score_Val,Cohen_Score_Test
0,Solute_carrier_family_15_member_1_sub,12,1.0,-0.006
1,S_mephenytoin_4_hydroxylase_ind,12,1.0,-0.006999999999999999
2,Methyltransferase_sub,12,1.0,-0.009000000000000001
3,2C8_ind,12,1.0,0.0
4,MET_sub,12,0.7979999999999999,-0.009000000000000001
5,Solute_carrier_family_22_member_8_inh,11,0.665,-0.011000000000000001
6,Canalicular_multispecific_organic_anion_transporter_1_ind,11,0.665,-0.009000000000000001
7,Sulfotransferase_inh,12,0.665,-0.006999999999999999
8,SUL_inh,12,0.665,-0.011000000000000001
9,NAT_sub,13,0.662,0.0
10,N_acetyltransferase_sub,13,0.6609999999999999,-0.011000000000000001
11,19A_inh,24,0.5660000000000001,-0.013000000000000001
12,Aromatase_Estrogen_synthetase_inh,24,0.5660000000000001,-0.013000000000000001
13,3A7_inh,13,0.565,-0.015
14,2B6_ind,19,0.565,0.183
15,3A4_sub,495,0.565,0.35
16,Multidrug_resistance_protein_1_sub,32,0.535,0.242
17,2E1_sub,119,0.514,0.32799999999999996
18,2C8_sub,133,0.501,0.256
19,Multidrug_resistance_protein_1_inh,13,0.4970000000000001,0.0
20,Multidrug_resistance_associated_protein_1_sub,13,0.4970000000000001,0.0
21,P450_HFLA_inh,13,0.4970000000000001,-0.011000000000000001
22,Solute_carrier_organic_anion_transporter_family_member_1B1_sub,14,0.4970000000000001,0.4970000000000001
23,UGT_ind,14,0.4970000000000001,-0.013000000000000001
24,2C18_sub,16,0.4970000000000001,-0.006999999999999999
25,Sulfotransferase_ind,11,0.496,0.0
26,SUL_ind,11,0.496,0.0
27,Coumarin_7_hydroxylase_inh,27,0.493,-0.008
28,2A6_inh,27,0.493,-0.008
29,ATP_binding_cassette_sub_family_G_member_2_sub,26,0.4920000000000001,-0.024
30,N_acetyltransferase_ind,21,0.491,-0.022000000000000002
31,2C19_sub,194,0.485,0.266
32,2D6_sub,301,0.484,0.3720000000000001
33,2C9_sub,231,0.451,0.38
34,UGT_sub,46,0.45,0.107
35,1A2_sub,220,0.43799999999999994,0.37
36,Methyltransferase_inh,26,0.435,0.591
37,3A5_ind,21,0.433,-0.02
38,2E1_ind,20,0.396,0.0
39,Multidrug_resistance_associated_protein_1_inh,12,0.39399999999999996,0.496
40,Solute_carrier_family_22_member_8_sub,12,0.39399999999999996,-0.006999999999999999
41,CP2CI_sub,16,0.39399999999999996,-0.006999999999999999
42,GST_sub,14,0.39399999999999996,0.0
43,3A7_sub,66,0.385,0.11199999999999999
44,3A4_ind,71,0.358,0.073
45,2C9_inh,154,0.353,0.245
46,1A1_sub,35,0.349,-0.023
47,3A5_inh,21,0.349,0.147
48,1A1_inh,31,0.349,-0.008
49,2A6_sub,33,0.349,-0.023
50,2B6_inh,30,0.349,-0.023
51,2D6_inh,171,0.349,0.12
52,P450_HFLA_sub,66,0.331,0.11199999999999999
53,GST_inh,25,0.32799999999999996,0.0
54,Methyltransferase_ind,12,0.325,-0.011000000000000001
55,ATP_binding_cassette_sub_family_G_member_2_inh,16,0.325,-0.012
56,MET_ind,12,0.325,-0.011000000000000001
57,Canalicular_multispecific_organic_anion_transporter_1_inh,16,0.325,-0.018000000000000002
58,HLp2_ind,21,0.325,-0.006999999999999999
59,Solute_carrier_organic_anion_transporter_family_member_1A2_sub,14,0.324,-0.006999999999999999
60,2B6_sub,49,0.32299999999999995,-0.021
61,Canalicular_multispecific_organic_anion_transporter_1_sub,27,0.315,-0.032
62,Multidrug_resistance_protein_1_ind,30,0.315,0.18100000000000002
63,2E1_inh,50,0.313,0.121
64,2C19_inh,77,0.301,0.09699999999999999
65,S_mephenytoin_4_hydroxylase_sub,74,0.301,0.006999999999999999
66,HLp2_inh,21,0.29100000000000004,-0.018000000000000002
67,2C9_ind,20,0.29100000000000004,0.275
68,MET_inh,26,0.28800000000000003,0.225
69,1A2_ind,27,0.28800000000000003,0.162
70,NAT_inh,21,0.27699999999999997,-0.017
71,UGT_inh,21,0.27699999999999997,0.0
72,3A4_inh,219,0.264,0.225
73,Coumarin_7_hydroxylase_sub,33,0.263,-0.032
74,GST_ind,34,0.263,-0.023
75,S_mephenytoin_4_hydroxylase_inh,68,0.25,-0.006999999999999999
76,1A2_inh,86,0.245,0.07
77,2C19_ind,12,0.24,0.5660000000000001
78,2C8_inh,68,0.24,0.032
79,N_acetyltransferase_inh,21,0.23800000000000002,-0.024
80,SUL_sub,17,0.237,-0.012
81,Sulfotransferase_sub,17,0.237,-0.012
82,NAT_ind,21,0.237,-0.006999999999999999
83,3A5_sub,86,0.205,0.128
84,HLp2_sub,86,0.203,0.21899999999999997
85,1A1_ind,35,0.163,-0.008
86,1B1_sub,12,0.154,-0.013000000000000001
