,,,Predictions,,,,Category - training set predictions,,
,NAME,Experimental Log Intrinsic Solubility (µM),MLR,ANN,,,NAME,Experimental Log Intrinsic Solubility (µM),Predicted log Solubility (µM)
1,2-amino-5-bromobenzoic acid,-2.40,-2.30,-1.68,,1, 1-naphthol,-1.14,-2.01
2,4-iodophenol,-1.05,-1.84,-1.25,,2, 2-amino-5-bromobenzoic acid,-2.40,-2.72
3,"5-bromo-2,4-dihydroxybenzoic acid",-1.99,-2.67,-2.44,,3, 4-iodophenol,-1.05,-1.29
4,5-hydroxybenzoic acid,-0.60,-1.22,-0.46,,4," 5-bromo-2,4-dihydroxybenzoic acid",-1.99,-2.98
5,Acetaminophen,-0.24,-0.79,-0.33,,5, 5-hydroxybenzoic acid,-0.60,-1.67
6,Acetazolamide,-1.79,-1.65,-1.90,,6, Acetaminophen,-0.24,-1.45
7,Amantadine,-1.03,-0.93,-1.00,,7, Acetazolamide,-1.79,-1.90
8,Amiodarone,-7.98,-7.93,-8.06,,8, Alprenolol,-2.03,-2.63
9,Amitryptyline,-3.99,-3.75,-4.04,,9, Amantadine,-1.03,-2.96
10,Amodiaquine,-5.34,-4.11,-4.89,,10, Amiodarone,-7.98,-8.39
11,Atropine,-1.46,-2.04,-1.88,,11, Amitryptyline,-3.99,-4.03
12,Azathioprine,-2.65,-2.51,-2.78,,12, Amodiaquine,-5.34,-5.91
13,Benzylimidazole,-1.46,-1.75,-2.03,,13, Atropine,-1.46,-2.35
14,Bupivacaine,-2.68,-3.32,-2.75,,14, Benzylimidazole,-1.46,N/A - Read-across
15,Carprofen,-4.14,-4.39,-3.85,,15, Bromogramine,-3.46,-3.45
16,Carvedilol,-3.87,-4.33,-3.59,,16, Bupivacaine,-2.68,-4.05
17,Cephalothin,-2.54,-2.96,-2.39,,17, Carprofen,-4.14,-4.81
18,Chlorpheniramine,-2.11,-3.17,-2.01,,18, Carvedilol,-3.87,-3.59
19,Chlorpromazine,-4.57,-4.28,-4.59,,19, Cephalothin,-2.54,-2.87
20,Chlorproamide,-6.25,-4.31,-5.80,,20, Chlorpheniramine,-2.11,-3.99
21,Chlorprothixene,-5.37,-4.34,-5.80,,21, Chlorpromazine,-4.57,-5.28
22,Cimetidine,-1.09,-1.97,-1.36,,22, Chlorpropamide,-2.69,-4.00
23,Ciprofloxacin,-3.12,-3.28,-2.81,,23, Chlorprothixene,-5.37,-5.06
24,Danofloxacin,-2.45,-2.59,-2.59,,24, Ciprofloxacin,-3.12,-2.47
25,Deprenyl,-1.78,-1.50,-1.46,,25, Danofloxacin,-2.45,-3.01
26,Desipramine,-3.06,-3.80,-3.74,,26, Desipramine,-3.06,-4.55
27,Diazoxide,-2.72,-3.03,-2.53,,27, Diazoxide,-2.72,-3.21
28,Difloxacin,-3.20,-2.24,-2.90,,28, Diclofenac,-4.93,-4.96
29,Diltiazem,-2.78,-3.75,-3.57,,29, Difloxacin,-3.20,-3.90
30,Diphenydramine,-2.36,-1.83,-1.70,,30, Diltiazem,-2.78,-3.41
