,Target,Dataset_Size,Actives,Inactives
0,11B1_inh,1192,13,1179
1,11B2_inh,1192,8,1184
2,17A_inh,1192,4,1188
3,19A_inh,1192,34,1158
4,1A1_inh,1192,45,1147
5,1A2_inh,1192,125,1067
6,1B1_inh,1192,13,1179
7,24A_inh,1192,1,1191
8,27A_inh,1192,2,1190
9,27B_inh,1192,1,1191
10,2A13_inh,1192,1,1191
11,2A6_inh,1192,40,1152
12,2B6_inh,1192,44,1148
13,2C18_inh,1192,3,1189
14,2C19_inh,1192,110,1082
15,2C8_inh,1192,96,1096
16,2C9_inh,1192,224,968
17,2D6_inh,1192,248,944
18,2E1_inh,1192,73,1119
19,2F1_inh,1192,1,1191
20,2J2_inh,1192,3,1189
21,2W1_inh,1192,1,1191
22,3A43_inh,1192,1,1191
23,3A4_inh,1192,317,875
24,3A5_inh,1192,29,1163
25,3A7_inh,1192,19,1173
26,4A11_inh,1192,1,1191
27,4F2_inh,1192,2,1190
28,51A_inh,1192,4,1188
29,7A1_inh,1192,11,1181
30,7B1_inh,1192,1,1191
31,8A1_inh,1192,2,1190
32,8B1_inh,1192,1,1191
33,ATP_binding_cassette_sub_family_A_member_3_inh,1192,1,1191
34,ATP_binding_cassette_sub_family_G_member_2_inh,1192,24,1168
35,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_inh,1192,8,1184
36,Arachidonic_acid_epoxygenase_inh,1192,3,1189
37,Aromatase_Estrogen_synthetase_inh,1192,34,1158
38,Bile_salt_export_pump_inh,1192,6,1186
39,CP2AD_inh,1192,1,1191
40,CP2CI_inh,1192,3,1189
41,CP2F1_inh,1192,1,1191
42,CP343_inh,1192,1,1191
43,Calcidiol_1_monooxygenase_25_OHD_1_alpha_hydroxylase_25_hydroxyvitamin_D3_1_alpha_hydroxylase_VD3_1A_hydroxylase_P450C1_alpha_50VD1_alpha_inh,1192,1,1191
44,Canalicular_multispecific_organic_anion_transporter_1_inh,1192,23,1169
45,Canalicular_multispecific_organic_anion_transporter_2_inh,1192,2,1190
46,Cholesterol_7_alpha_monooxygenase_Cholesterol_7_alpha_hydroxylase_inh,1192,11,1181
47,Chromaffin_granule_amine_transporter_inh,1192,2,1190
48,Coumarin_7_hydroxylase_inh,1192,40,1152
49,Electrogenic_sodium_bicarbonate_cotransporter_1_inh,1192,1,1191
50,GST_inh,1192,35,1157
51,HLp2_inh,1192,29,1163
52,High_affinity_copper_uptake_protein_1_inh,1192,3,1189
53,MET_inh,1192,38,1154
54,Methyltransferase_inh,1192,38,1154
55,Monocarboxylate_transporter_1_inh,1192,2,1190
56,Monocarboxylate_transporter_2_inh,1192,1,1191
57,Multidrug_and_toxin_extrusion_protein_1_inh,1192,2,1190
58,Multidrug_resistance_associated_protein_1_inh,1192,16,1176
59,Multidrug_resistance_associated_protein_4_inh,1192,9,1183
60,Multidrug_resistance_associated_protein_5_inh,1192,1,1191
61,Multidrug_resistance_associated_protein_7_inh,1192,1,1191
62,Multidrug_resistance_protein_1_inh,1192,19,1173
63,Multidrug_resistance_protein_3_inh,1192,1,1191
64,NAT_inh,1192,31,1161
65,N_acetyltransferase_inh,1192,31,1161
66,P450_HFLA_inh,1192,19,1173
67,Probable_low_affinity_copper_uptake_protein_2_inh,1192,1,1191
68,Prostacyclin_synthase_Prostaglandin_I2_synthase_PTGIS_inh,1192,2,1190
69,Proton_coupled_amino_acid_transporter_1_inh,1192,2,1190
70,Proton_coupled_folate_transporter_inh,1192,1,1191
71,SUL_inh,1192,17,1175
72,S_mephenytoin_4_hydroxylase_inh,1192,96,1096
73,Sodium_coupled_neutral_amino_acid_transporter_3_inh,1192,3,1189
74,Sodium_dependent_noradrenaline_transporter_inh,1192,6,1186
75,Sodiumbile_acid_cotransporter_inh,1192,2,1190
76,Solute_carrier_family_12_member_1_inh,1192,2,1190
77,Solute_carrier_family_12_member_2_inh,1192,6,1186
78,Solute_carrier_family_12_member_5_inh,1192,1,1191
79,Solute_carrier_family_15_member_1_inh,1192,3,1189
80,Solute_carrier_family_15_member_2_inh,1192,3,1189
81,Solute_carrier_family_22_member_11_inh,1192,2,1190
82,Solute_carrier_family_22_member_1_inh,1192,8,1184
83,Solute_carrier_family_22_member_2_inh,1192,8,1184
84,Solute_carrier_family_22_member_4_inh,1192,1,1191
85,Solute_carrier_family_22_member_5_inh,1192,1,1191
86,Solute_carrier_family_22_member_6_inh,1192,9,1183
87,Solute_carrier_family_22_member_7_inh,1192,3,1189
88,Solute_carrier_family_22_member_8_inh,1192,15,1177
89,Solute_carrier_family_28_member_3_inh,1192,1,1191
90,Solute_carrier_organic_anion_transporter_family_member_1A2_inh,1192,8,1184
91,Solute_carrier_organic_anion_transporter_family_member_1B1_inh,1192,12,1180
92,Solute_carrier_organic_anion_transporter_family_member_1B3_inh,1192,7,1185
93,Solute_carrier_organic_anion_transporter_family_member_2A1_inh,1192,1,1191
94,Solute_carrier_organic_anion_transporter_family_member_2B1_inh,1192,2,1190
95,Steroid_11_beta_hydroxylase_inh,1192,13,1179
96,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_inh,1192,4,1188
97,Sterol_14_alpha_demethylase_Lanosterol_14_alpha_demethylase_inh,1192,4,1188
98,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_inh,1192,2,1190
99,Sulfotransferase_inh,1192,17,1175
100,UGT_inh,1192,31,1161
