,Target,Dataset_Size,Actives,Inactives
0,11B1_ind,1192,3,1189
1,11B1_inh,1192,13,1179
2,11B1_sub,1192,3,1189
3,11B2_ind,1192,3,1189
4,11B2_inh,1192,8,1184
5,11B2_sub,1192,3,1189
6,17A_ind,1192,2,1190
7,17A_inh,1192,4,1188
8,17A_sub,1192,3,1189
9,19A_ind,1192,13,1179
10,19A_inh,1192,34,1158
11,19A_sub,1192,8,1184
12,1A1_ind,1192,49,1143
13,1A1_inh,1192,45,1147
14,1A1_sub,1192,49,1143
15,1A2_ind,1192,39,1153
16,1A2_inh,1192,125,1067
17,1A2_sub,1192,155,1037
18,1B1_ind,1192,13,1179
19,1B1_inh,1192,13,1179
20,1B1_sub,1192,17,1175
21,21A_ind,1192,1,1191
22,21A_sub,1192,2,1190
23,24A_ind,1192,1,1191
24,24A_inh,1192,1,1191
25,24A_sub,1192,2,1190
26,26B_sub,1192,1,1191
27,27A_ind,1192,2,1190
28,27A_inh,1192,2,1190
29,27A_sub,1192,2,1190
30,27B_inh,1192,1,1191
31,2A13_ind,1192,2,1190
32,2A13_inh,1192,1,1191
33,2A13_sub,1192,3,1189
34,2A6_ind,1192,7,1185
35,2A6_inh,1192,40,1152
36,2A6_sub,1192,47,1145
37,2B6_ind,1192,27,1165
38,2B6_inh,1192,44,1148
39,2B6_sub,1192,70,1122
40,2C18_ind,1192,4,1188
41,2C18_inh,1192,3,1189
42,2C18_sub,1192,22,1170
43,2C19_ind,1192,16,1176
44,2C19_inh,1192,110,1082
45,2C19_sub,1192,137,1055
46,2C8_ind,1192,17,1175
47,2C8_inh,1192,96,1096
48,2C8_sub,1192,106,1086
49,2C9_ind,1192,28,1164
50,2C9_inh,1192,224,968
51,2C9_sub,1192,199,993
52,2D6_ind,1192,13,1179
53,2D6_inh,1192,248,944
54,2D6_sub,1192,281,911
55,2E1_ind,1192,28,1164
56,2E1_inh,1192,73,1119
57,2E1_sub,1192,73,1119
58,2F1_ind,1192,1,1191
59,2F1_inh,1192,1,1191
60,2F1_sub,1192,2,1190
61,2J2_ind,1192,1,1191
62,2J2_inh,1192,3,1189
63,2J2_sub,1192,3,1189
64,2S1_sub,1192,1,1191
65,2W1_ind,1192,1,1191
66,2W1_inh,1192,1,1191
67,3A43_ind,1192,3,1189
68,3A43_inh,1192,1,1191
69,3A43_sub,1192,5,1187
70,3A4_ind,1192,101,1091
71,3A4_inh,1192,317,875
72,3A4_sub,1192,500,692
73,3A5_ind,1192,30,1162
74,3A5_inh,1192,29,1163
75,3A5_sub,1192,124,1068
76,3A7_ind,1192,13,1179
77,3A7_inh,1192,19,1173
78,3A7_sub,1192,94,1098
79,46A_sub,1192,5,1187
80,4A11_ind,1192,8,1184
81,4A11_inh,1192,1,1191
82,4A11_sub,1192,2,1190
83,4B1_ind,1192,4,1188
84,4B1_sub,1192,3,1189
85,4F11_sub,1192,1,1191
86,4F22_ind,1192,1,1191
87,4F2_inh,1192,2,1190
88,4F2_sub,1192,4,1188
89,4F3_sub,1192,1,1191
90,51A_inh,1192,4,1188
91,7A1_ind,1192,2,1190
92,7A1_inh,1192,11,1181
93,7B1_inh,1192,1,1191
94,8A1_inh,1192,2,1190
95,8B1_ind,1192,1,1191
96,8B1_inh,1192,1,1191
97,ATP_binding_cassette_sub_family_A_member_3_ind,1192,2,1190
98,ATP_binding_cassette_sub_family_A_member_3_inh,1192,1,1191
99,ATP_binding_cassette_sub_family_A_member_3_sub,1192,1,1191
100,ATP_binding_cassette_sub_family_G_member_2_ind,1192,11,1181
101,ATP_binding_cassette_sub_family_G_member_2_inh,1192,24,1168
102,ATP_binding_cassette_sub_family_G_member_2_sub,1192,36,1156
103,ATP_binding_cassette_transporter_sub_family_C_member_11_ind,1192,2,1190
104,ATP_binding_cassette_transporter_sub_family_C_member_11_sub,1192,2,1190
105,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_ind,1192,3,1189
106,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_inh,1192,8,1184
107,Aldosterone_synthase_ALDOS_Aldosterone_synthesizing_enzyme_Steroid_18_hydroxylase_sub,1192,3,1189
108,Arachidonic_acid_epoxygenase_ind,1192,1,1191
109,Arachidonic_acid_epoxygenase_inh,1192,3,1189
110,Arachidonic_acid_epoxygenase_sub,1192,3,1189
111,Aromatase_Estrogen_synthetase_ind,1192,13,1179
112,Aromatase_Estrogen_synthetase_inh,1192,34,1158
113,Aromatase_Estrogen_synthetase_sub,1192,8,1184
114,Bile_salt_export_pump_ind,1192,3,1189
115,Bile_salt_export_pump_inh,1192,6,1186
116,Bile_salt_export_pump_sub,1192,3,1189
117,CP2AD_ind,1192,2,1190
118,CP2AD_inh,1192,1,1191
119,CP2AD_sub,1192,3,1189
120,CP2CI_ind,1192,4,1188
121,CP2CI_inh,1192,3,1189
122,CP2CI_sub,1192,22,1170
123,CP2F1_ind,1192,1,1191
124,CP2F1_inh,1192,1,1191
125,CP2F1_sub,1192,2,1190
126,CP343_ind,1192,3,1189
127,CP343_inh,1192,1,1191
128,CP343_sub,1192,5,1187
129,CP4FB_sub,1192,1,1191
130,CP4FN_ind,1192,1,1191
131,Calcidiol_1_monooxygenase_25_OHD_1_alpha_hydroxylase_25_hydroxyvitamin_D3_1_alpha_hydroxylase_VD3_1A_hydroxylase_P450C1_alpha_50VD1_alpha_inh,1192,1,1191
132,Canalicular_multispecific_organic_anion_transporter_1_ind,1192,15,1177
133,Canalicular_multispecific_organic_anion_transporter_1_inh,1192,23,1169
134,Canalicular_multispecific_organic_anion_transporter_1_sub,1192,39,1153
135,Canalicular_multispecific_organic_anion_transporter_2_ind,1192,5,1187
136,Canalicular_multispecific_organic_anion_transporter_2_inh,1192,2,1190
137,Canalicular_multispecific_organic_anion_transporter_2_sub,1192,3,1189
138,Cholesterol_24_hydroxylase_sub,1192,5,1187
139,Cholesterol_7_alpha_monooxygenase_Cholesterol_7_alpha_hydroxylase_ind,1192,2,1190
140,Cholesterol_7_alpha_monooxygenase_Cholesterol_7_alpha_hydroxylase_inh,1192,11,1181
141,Choline_transporter_like_protein_2_sub,1192,1,1191
142,Chromaffin_granule_amine_transporter_inh,1192,2,1190
143,Chromaffin_granule_amine_transporter_sub,1192,2,1190
144,Copper_transporting_ATPase_1_sub,1192,1,1191
145,Copper_transporting_ATPase_2_ind,1192,1,1191
146,Copper_transporting_ATPase_2_sub,1192,1,1191
147,Coumarin_7_hydroxylase_ind,1192,7,1185
148,Coumarin_7_hydroxylase_inh,1192,40,1152
149,Coumarin_7_hydroxylase_sub,1192,47,1145
150,Electrogenic_sodium_bicarbonate_cotransporter_1_inh,1192,1,1191
151,Electrogenic_sodium_bicarbonate_cotransporter_1_sub,1192,1,1191
152,Electroneutral_sodium_bicarbonate_exchanger_1_sub,1192,1,1191
153,Equilibrative_nucleoside_transporter_1_sub,1192,1,1191
154,GST_ind,1192,48,1144
155,GST_inh,1192,35,1157
156,GST_sub,1192,20,1172
157,HLp2_ind,1192,30,1162
158,HLp2_inh,1192,29,1163
159,HLp2_sub,1192,124,1068
160,High_affinity_copper_uptake_protein_1_ind,1192,1,1191
161,High_affinity_copper_uptake_protein_1_inh,1192,3,1189
162,High_affinity_copper_uptake_protein_1_sub,1192,3,1189
163,Ileal_sodiumbile_acid_cotransporter_ind,1192,7,1185
164,MET_ind,1192,16,1176
165,MET_inh,1192,38,1154
166,MET_sub,1192,16,1176
167,Methyltransferase_ind,1192,16,1176
168,Methyltransferase_inh,1192,38,1154
169,Methyltransferase_sub,1192,16,1176
170,Monocarboxylate_transporter_10_sub,1192,1,1191
171,Monocarboxylate_transporter_1_ind,1192,3,1189
172,Monocarboxylate_transporter_1_inh,1192,2,1190
173,Monocarboxylate_transporter_1_sub,1192,4,1188
174,Monocarboxylate_transporter_2_inh,1192,1,1191
175,Monocarboxylate_transporter_2_sub,1192,1,1191
176,Monocarboxylate_transporter_4_sub,1192,1,1191
177,Multidrug_and_toxin_extrusion_protein_1_inh,1192,2,1190
178,Multidrug_and_toxin_extrusion_protein_1_sub,1192,4,1188
179,Multidrug_resistance_associated_protein_1_ind,1192,13,1179
180,Multidrug_resistance_associated_protein_1_inh,1192,16,1176
181,Multidrug_resistance_associated_protein_1_sub,1192,19,1173
182,Multidrug_resistance_associated_protein_4_ind,1192,2,1190
183,Multidrug_resistance_associated_protein_4_inh,1192,9,1183
184,Multidrug_resistance_associated_protein_4_sub,1192,11,1181
185,Multidrug_resistance_associated_protein_5_ind,1192,2,1190
186,Multidrug_resistance_associated_protein_5_inh,1192,1,1191
187,Multidrug_resistance_associated_protein_5_sub,1192,4,1188
188,Multidrug_resistance_associated_protein_7_ind,1192,2,1190
189,Multidrug_resistance_associated_protein_7_inh,1192,1,1191
190,Multidrug_resistance_protein_1_ind,1192,42,1150
191,Multidrug_resistance_protein_1_inh,1192,19,1173
192,Multidrug_resistance_protein_1_sub,1192,46,1146
193,Multidrug_resistance_protein_3_ind,1192,4,1188
194,Multidrug_resistance_protein_3_inh,1192,1,1191
195,Multidrug_resistance_protein_3_sub,1192,1,1191
196,NAT_ind,1192,30,1162
197,NAT_inh,1192,31,1161
198,NAT_sub,1192,19,1173
199,N_acetyltransferase_ind,1192,30,1162
200,N_acetyltransferase_inh,1192,31,1161
201,N_acetyltransferase_sub,1192,19,1173
202,Neutral_amino_acid_transporter_B0_ind,1192,2,1190
203,Neutral_amino_acid_transporter_B0_sub,1192,8,1184
204,P450_HFLA_ind,1192,13,1179
205,P450_HFLA_inh,1192,19,1173
206,P450_HFLA_sub,1192,94,1098
207,P450_HP_ind,1192,4,1188
208,P450_HP_sub,1192,3,1189
209,Probable_low_affinity_copper_uptake_protein_2_inh,1192,1,1191
210,Probable_low_affinity_copper_uptake_protein_2_sub,1192,1,1191
211,Prostacyclin_synthase_Prostaglandin_I2_synthase_PTGIS_inh,1192,2,1190
212,Proton_coupled_amino_acid_transporter_1_inh,1192,2,1190
213,Proton_coupled_amino_acid_transporter_1_sub,1192,3,1189
214,Proton_coupled_folate_transporter_ind,1192,1,1191
215,Proton_coupled_folate_transporter_inh,1192,1,1191
216,Proton_coupled_folate_transporter_sub,1192,3,1189
217,SUL_ind,1192,15,1177
218,SUL_inh,1192,17,1175
219,SUL_sub,1192,25,1167
220,S_mephenytoin_4_hydroxylase_ind,1192,17,1175
221,S_mephenytoin_4_hydroxylase_inh,1192,96,1096
222,S_mephenytoin_4_hydroxylase_sub,1192,106,1086
223,Sodium_coupled_neutral_amino_acid_transporter_3_ind,1192,1,1191
224,Sodium_coupled_neutral_amino_acid_transporter_3_inh,1192,3,1189
225,Sodium_coupled_neutral_amino_acid_transporter_3_sub,1192,7,1185
226,Sodium_dependent_noradrenaline_transporter_ind,1192,4,1188
227,Sodium_dependent_noradrenaline_transporter_inh,1192,6,1186
228,Sodium_dependent_noradrenaline_transporter_sub,1192,4,1188
229,Sodium_dependent_serotonin_transporter_sub,1192,1,1191
230,Sodiumbile_acid_cotransporter_ind,1192,3,1189
231,Sodiumbile_acid_cotransporter_inh,1192,2,1190
232,Sodiumbile_acid_cotransporter_sub,1192,2,1190
233,Solute_carrier_family_12_member_1_ind,1192,6,1186
234,Solute_carrier_family_12_member_1_inh,1192,2,1190
235,Solute_carrier_family_12_member_1_sub,1192,3,1189
236,Solute_carrier_family_12_member_2_ind,1192,8,1184
237,Solute_carrier_family_12_member_2_inh,1192,6,1186
238,Solute_carrier_family_12_member_2_sub,1192,2,1190
239,Solute_carrier_family_12_member_4_ind,1192,1,1191
240,Solute_carrier_family_12_member_4_sub,1192,1,1191
241,Solute_carrier_family_12_member_5_inh,1192,1,1191
242,Solute_carrier_family_12_member_5_sub,1192,1,1191
243,Solute_carrier_family_15_member_1_ind,1192,2,1190
244,Solute_carrier_family_15_member_1_inh,1192,3,1189
245,Solute_carrier_family_15_member_1_sub,1192,16,1176
246,Solute_carrier_family_15_member_2_inh,1192,3,1189
247,Solute_carrier_family_15_member_2_sub,1192,4,1188
248,Solute_carrier_family_22_member_11_inh,1192,2,1190
249,Solute_carrier_family_22_member_11_sub,1192,1,1191
250,Solute_carrier_family_22_member_1_ind,1192,3,1189
251,Solute_carrier_family_22_member_1_inh,1192,8,1184
252,Solute_carrier_family_22_member_1_sub,1192,8,1184
253,Solute_carrier_family_22_member_2_ind,1192,1,1191
254,Solute_carrier_family_22_member_2_inh,1192,8,1184
255,Solute_carrier_family_22_member_2_sub,1192,12,1180
256,Solute_carrier_family_22_member_3_sub,1192,3,1189
257,Solute_carrier_family_22_member_4_inh,1192,1,1191
258,Solute_carrier_family_22_member_4_sub,1192,2,1190
259,Solute_carrier_family_22_member_5_inh,1192,1,1191
260,Solute_carrier_family_22_member_5_sub,1192,5,1187
261,Solute_carrier_family_22_member_6_inh,1192,9,1183
262,Solute_carrier_family_22_member_6_sub,1192,9,1183
263,Solute_carrier_family_22_member_7_ind,1192,1,1191
264,Solute_carrier_family_22_member_7_inh,1192,3,1189
265,Solute_carrier_family_22_member_7_sub,1192,5,1187
266,Solute_carrier_family_22_member_8_ind,1192,1,1191
267,Solute_carrier_family_22_member_8_inh,1192,15,1177
268,Solute_carrier_family_22_member_8_sub,1192,18,1174
269,Solute_carrier_family_28_member_3_ind,1192,1,1191
270,Solute_carrier_family_28_member_3_inh,1192,1,1191
271,Solute_carrier_family_28_member_3_sub,1192,3,1189
272,Solute_carrier_organic_anion_transporter_family_member_1A2_ind,1192,1,1191
273,Solute_carrier_organic_anion_transporter_family_member_1A2_inh,1192,8,1184
274,Solute_carrier_organic_anion_transporter_family_member_1A2_sub,1192,20,1172
275,Solute_carrier_organic_anion_transporter_family_member_1B1_ind,1192,4,1188
276,Solute_carrier_organic_anion_transporter_family_member_1B1_inh,1192,12,1180
277,Solute_carrier_organic_anion_transporter_family_member_1B1_sub,1192,20,1172
278,Solute_carrier_organic_anion_transporter_family_member_1B3_inh,1192,7,1185
279,Solute_carrier_organic_anion_transporter_family_member_1B3_sub,1192,14,1178
280,Solute_carrier_organic_anion_transporter_family_member_1C1_sub,1192,1,1191
281,Solute_carrier_organic_anion_transporter_family_member_2A1_inh,1192,1,1191
282,Solute_carrier_organic_anion_transporter_family_member_2A1_sub,1192,1,1191
283,Solute_carrier_organic_anion_transporter_family_member_2B1_inh,1192,2,1190
284,Solute_carrier_organic_anion_transporter_family_member_2B1_sub,1192,8,1184
285,Solute_carrier_organic_anion_transporter_family_member_3A1_sub,1192,1,1191
286,Solute_carrier_organic_anion_transporter_family_member_4A1_sub,1192,1,1191
287,Solute_carrier_organic_anion_transporter_family_member_4C1_sub,1192,2,1190
288,Steroid_11_beta_hydroxylase_ind,1192,3,1189
289,Steroid_11_beta_hydroxylase_inh,1192,13,1179
290,Steroid_11_beta_hydroxylase_sub,1192,3,1189
291,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_ind,1192,2,1190
292,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_inh,1192,4,1188
293,Steroid_17_alpha_monooxygenase_Steroid_17_alpha_hydroxylase1720_lyase_sub,1192,3,1189
294,Steroid_21_hydroxylase_21_OHase_ind,1192,1,1191
295,Steroid_21_hydroxylase_21_OHase_sub,1192,2,1190
296,Sterol_14_alpha_demethylase_Lanosterol_14_alpha_demethylase_inh,1192,4,1188
297,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_ind,1192,2,1190
298,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_inh,1192,2,1190
299,Sterol_26_hydroxylase_Sterol_27_hydroxylase_Vitamin_D3_25_hydroxylase_5_beta_cholestane_3_alpha_7_alpha12_alpha_triol_27_hydroxylase_sub,1192,2,1190
300,Sulfotransferase_ind,1192,15,1177
301,Sulfotransferase_inh,1192,17,1175
302,Sulfotransferase_sub,1192,25,1167
303,UGT_ind,1192,20,1172
304,UGT_inh,1192,31,1161
305,UGT_sub,1192,66,1126
