,drug_name,drug_type
0,Alprostadil,Substrate
1,Androstanolone,Inducer
2,Cefmetazole,Inhibitor
3,Celecoxib,Inhibitor
4,Chlorothiazide,Inhibitor
5,Ciprofloxacin,Substrate
6,Cyclophosphamide,Substrate
7,Diclofenac,Inhibitor
8,Dinoprostone,Substrate
9,Folic Acid,Substrate
10,Furosemide,Inhibitor
11,Indometacin,Inhibitor
12,Irinotecan,Substrate
13,Ketoprofen,Inhibitor
14,Mercaptopurine,Substrate
15,Methotrexate,Substrate
16,Oseltamivir,Substrate
17,Paracetamol,Inducer
18,Prasterone,Substrate
19,Sulindac,Inhibitor
20,Telmisartan,Inhibitor
21,Tioguanine,Substrate
