,drug_name,drug_type
0,Acriflavinium Chloride,Substrate
1,Albendazole,"Substrate,Inhibitor,Inducer"
2,Alitretinoin,Inhibitor
3,Alosetron,Substrate
4,Aminogluthetimide,Inducer
5,Aminophenazone,Substrate
6,Aminophylline,Substrate
7,Amiodarone,"Inhibitor,Substrate"
8,Amitriptyline,"Inhibitor,Substrate"
9,Amlodipine,Inhibitor
10,Anagrelide,Substrate
11,Anastrozole,Inhibitor
12,Aprepitant,Substrate
13,Artemisinin,Inhibitor
14,Ascorbic Acid (vit C),Inducer
15,Atropine,Inhibitor
16,Azelastine,Substrate
17,Benoxaprofen,Inducer
18,Benzydamine,Substrate
19,Bergapten,Inhibitor
20,Betacarotene,Inducer
21,Betaxolol,Substrate
22,Bortezomib,Substrate
23,Bromazepam,Substrate
24,Bromocriptine,Inhibitor
25,Bupivacaine,Substrate
26,Buprenorphine,Inhibitor
27,Bupropion,Substrate
28,Caffeine,"Substrate,Inhibitor"
29,Capsaicin,Substrate
30,Carbamazepine,"Inducer,Inhibitor,Substrate"
31,Carmustine,Substrate
32,Carvedilol,Substrate
33,Chinin,"Substrate,Inhibitor,Inducer"
34,Chlorothiazide,Inducer
35,Chlorpromazine,"Substrate,Inhibitor,Inducer"
36,Chlorzoxazone,Substrate
37,Cilostazol,Substrate
38,Cimetidine,Inhibitor
39,Cinacalcet,Substrate
40,Cinnarizin,Substrate
41,Ciprofloxacin,Inhibitor
42,Cisapride,Substrate
43,Citalopram,Inhibitor
44,Clarithromycin,Inhibitor
45,Clenbuterol,Substrate
46,Clobetasol,Inhibitor
47,Clomifene,Inhibitor
48,Clomipramine,Substrate
49,Clopidogrel,Substrate
50,Clotrimazole,Inhibitor
51,Clozapine,"Inhibitor,Substrate"
52,Cocaine,Inducer
53,Cyamemazine,Substrate
54,Cyclobarbital,Inducer
55,Cyclobenzaprine,Substrate
56,Cypermethrin,Substrate
57,Dacarbazine,"Inhibitor,Substrate"
58,Dactinomycin,Inhibitor
59,Daunorubicin,Substrate
60,Deanol,Substrate
61,Decamethrin,Substrate
62,Delavirdine,Inhibitor
63,Desipramine,Substrate
64,Desloratadine,Inhibitor
65,Dexamethasone,Inducer
66,Dexfenfluramine,"Inhibitor,Substrate"
67,Dexmedetomidine,Inhibitor
68,Diazepam,"Inhibitor,Substrate"
69,Diclofenac,"Inhibitor,Substrate"
70,Diethyltoluamide,Substrate
71,Dihydralazine,"Substrate,Inhibitor"
72,Dinoprostone,Substrate
73,Disulfiram,"Substrate,Inhibitor"
74,Domperidone,Substrate
75,Dopamine,"Inhibitor,Substrate"
76,Doxepin,Substrate
77,Doxorubicin,Inducer
78,Duloxetine,Substrate
79,Efavirenz,Inhibitor
80,Enoxacin,Inhibitor
81,Enoxolone,Inhibitor
82,Entacapone,Inhibitor
83,Epinephrine,Inhibitor
84,Ergotamine,Substrate
85,Erlotinib,Substrate
86,Erythromycin,"Inhibitor,Substrate"
87,Estradiol,Substrate
88,Estriol,Inhibitor
89,Estrone,Substrate
90,Ethanol,Substrate
