,drug_name,drug_type
0,Aciclovir,Substrate
1,Arsenic Trioxide,"Inducer,Substrate"
2,Azithromycin,Substrate
3,Benzbromarone,Substrate
4,Benzylpenicillin,Inducer
5,Bosentan,Inducer
6,Carbamazepine,Substrate
7,Chenodeoxycholic Acid,Inducer
8,Ciclosporin,"Inhibitor,Substrate"
9,Cimetidine,Inhibitor
10,Ciprofloxacin,Substrate
11,Cisplatin,"Inhibitor,Inducer,Substrate"
12,Clotrimazole,Inducer
13,Dexamethasone,Inducer
14,Diclofenac,Substrate
15,Doxorubicin,Substrate
16,Enoxolone,Inhibitor
17,Eprosartan,Inducer
18,Erythromycin,Substrate
19,Estradiol,"Substrate,Inducer"
20,Estrone,Inhibitor
21,Etodolac,Inhibitor
22,Etoposide,Substrate
23,Ezetimibe,Substrate
24,Fluorescein,Substrate
25,Fluorouracil,Substrate
26,Gentamicin,Inducer
27,Glibenclamide,Inhibitor
28,Glutathione,Substrate
29,Grepafloxacin,Substrate
30,Indinavir,"Inhibitor,Substrate"
31,Indometacin,"Inhibitor,Inducer"
32,Irinotecan,Substrate
33,Ketoconazole,Inhibitor
34,Levonorgestrel,Inhibitor
35,Lopinavir,"Substrate,Inhibitor"
36,Mesalazine,Substrate
37,Methotrexate,Substrate
38,Midecamycin,Inhibitor
39,Mitoxantrone,Inhibitor
40,Montelukast,Inhibitor
41,Mycophenolic Acid,"Substrate,Inhibitor"
42,Octreotide,Substrate
43,Paclitaxel,Substrate
44,Paracetamol,Substrate
45,Phenobarbital,"Inducer,Substrate"
46,Phenolphthalein,Substrate
47,Phenytoin,Substrate
48,Pravastatin,"Substrate,Inhibitor"
49,Probenecid,Inhibitor
50,Rifampicin,"Substrate,Inducer"
51,Ritonavir,"Inhibitor,Substrate"
52,Saquinavir,"Substrate,Inhibitor"
53,Sulfinpyrazon,"Substrate,Inhibitor"
54,Talinolol,Substrate
55,Telithromycin,Substrate
56,Ursodeoxycholic Acid,Inducer
57,Valsartan,Substrate
58,Verapamil,Inhibitor
59,Vinblastine,"Substrate,Inhibitor,Inducer"
