,drug_name,drug_type
0,Budesonide,Inhibitor
1,Celecoxib,Inhibitor
2,Chlorcyclizine,Substrate
3,Chlorphenamine,Substrate
4,Cisplatin,Substrate
5,Clotrimazole,"Substrate,Inhibitor"
6,Daunorubicin,"Substrate,Inducer"
7,Dipyridamole,Inhibitor
8,Disulfiram,Inhibitor
9,Doxorubicin,"Substrate,Inducer,Inhibitor"
10,Epirubicin,Inducer
11,Estradiol,"Inducer,Substrate"
12,Estrone,Substrate
13,Etacrynic Acid,Substrate
14,Ethanol,Inducer
15,Etoposide,Substrate
16,Fluorescein,Substrate
17,G-strophanthin,Inducer
18,Glibenclamide,"Inducer,Inhibitor"
19,Glutathione,Substrate
20,Indometacin,Inhibitor
21,Ivermectin,"Substrate,Inhibitor"
22,Lopinavir,Substrate
23,Lovastatin,Inhibitor
24,Menadione,Inducer
25,"Mercury, Metallic",Inducer
26,Paracetamol,Inducer
27,Phenytoin,Substrate
28,Probenecid,"Inhibitor,Substrate"
29,Quinidine,Inhibitor
30,Ritonavir,Inducer
31,Rofecoxib,Inducer
32,Saquinavir,"Substrate,Inducer"
33,Silymarin,Inhibitor
34,Sulfinpyrazon,Inhibitor
35,Trastuzumab,Inhibitor
36,Verapamil,Inhibitor
37,Vinblastine,Substrate
38,Vincristine,Substrate
