,drug_name,drug_type
0,Androstanolone,Inducer
1,Angiotensinamide,Inhibitor
2,Benzylpenicillin,"Substrate,Inhibitor"
3,Cefazolin,Substrate
4,Cefotiam,Substrate
5,Celecoxib,Inhibitor
6,Chlorothiazide,Substrate
7,Cidofovir,Substrate
8,Ciprofloxacin,"Inhibitor,Substrate"
9,Estrone,Substrate
10,Etoricoxib,Inhibitor
11,Famotidine,Substrate
12,Fluvastatin,Inhibitor
13,Furosemide,Inhibitor
14,Gatifloxacin,Inhibitor
15,Glutathione,Substrate
16,Hydrocortisone,Substrate
17,Ibuprofen,Inhibitor
18,Mercaptopurine,Substrate
19,Methotrexate,Substrate
20,Phenolsulfonphthalein,Substrate
21,Prasterone,Substrate
22,Pravastatin,Substrate
23,Probenecid,Inhibitor
24,Ranitidine,Substrate
25,Rofecoxib,Inhibitor
26,Rosuvastatin,Substrate
27,Simvastatin,Inhibitor
28,Sulfasalazine,Inhibitor
29,Torasemide,Inhibitor
30,Tryptophan,Substrate
31,Valdecoxib,Inhibitor
