CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL214030	361264	CHEMBL214030	361264		29	275.31	-0.17	81.67	0	O[C@@H]1C[C@H]2NC(=O)N[C@@H](Cc3ccccc3)C(=O)N2C1	1777936	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
CHEMBL1627343	1050234	CHEMBL1627343	1050234	2-HYDROXYESTRONE	2-hydroxy-estrone	286.37	3.52	57.53	0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)c(O)cc34)[C@@H]1CCC2=O	6074795	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL135	27626	CHEMBL135	27626	ESTRADIOL	17-beta-Estradiol	272.39	3.61	40.46	0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	6074790	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL122617	201964	CHEMBL122617	201964	1-NAPHTHOL	1-naphthol	144.17	2.55	20.23	0	Oc1cccc2ccccc12	6074804	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL385732	361285	CHEMBL385732	361285		14	199.25	0.13	61.44	0	CC(C)C[C@@H]1NC(=O)NCN(C)C1=O	1777934	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
CHEMBL90593	149457	CHEMBL90593	149457	PRASTERONE	Dehydroepiandrosterone	288.43	3.88	37.3	0	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O	6074803	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL384032	361272	CHEMBL384032	361272		36	245.28	0.6	61.44	0	C[C@@H]1NC(=O)NC2Cc3ccccc3CN2C1=O	1777935	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
CHEMBL691	31241	CHEMBL691	31241	ETHINYL ESTRADIOL	ethinyl estradiol	296.41	3.61	40.46	0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C	6074792	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL253363	419616	CHEMBL253363	419616	PREGNENOLONE	pregnenolone	316.49	4.52	37.3	0	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	6074802	Activity					Activity				Substrate		0	BAO_0000375			738302	CHEMBL1743309	A	Major substrate of human cytosolic sulfotransferase SULT1E1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL214182	361251	CHEMBL214182	361251		5	291.31	0.12	89.95	0	CN1CN(CC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C1=O	1777938	Activity					Activity				Not Active		0	BAO_0000375			408904	CHEMBL909428	B	Inhibition of human estrogen sulfotransferase	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	12729	CHEMBL2346	SINGLE PROTEIN	P49888	Estrogen sulfotransferase	Homo sapiens	9	Protein			31831	CHEMBL1137329	17154507	J. Med. Chem.	2006	49	23	6768					
