CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL14130	13399	CHEMBL14130	13399	P-NITROPHENOL	4-Nitrophenol	139.11	1.3	63.37	0	Oc1ccc(cc1)[N+](=O)[O-]	6074751	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL112	16450	CHEMBL112	16450	ACETAMINOPHEN	acetaminophen	151.16	1.35	49.33	0	CC(=O)Nc1ccc(O)cc1	6074755	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL408	666	CHEMBL408	666	TROGLITAZONE	troglitazone	441.55	4.37	84.86	0	Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O	6074764	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL16645	16995	CHEMBL16645	16995	p-CRESOL	4-cresol	108.14	1.7	20.23	0	Cc1ccc(O)cc1	6074753	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL802	51042	CHEMBL802	51042	MINOXIDIL	minoxidil	209.25	-0.13	95.11	0	Nc1cc(nc(N)[n+]1[O-])N2CCCCC2	6074756	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL1743302	1122122	CHEMBL1743302	1122122		N-hydroxy-PhIP	240.27	2.44	62.97	0	Cn1c(NO)nc2ncc(cc12)c3ccccc3	6074757	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL53	3854	CHEMBL53	3854	APOMORPHINE	apomorphine	267.33	2.85	43.7	0	CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34	6074763	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL59	4584	CHEMBL59	4584	DOPAMINE	Dopamine	153.18	0.6	66.48	0	NCCc1ccc(O)c(O)c1	6074761	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL135	27626	CHEMBL135	27626	ESTRADIOL	17-beta-Estradiol	272.39	3.61	40.46	0	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	6074760	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL1544	433015	CHEMBL1544	433015	LIOTHYRONINE	tri-iodothyronine (T3)	650.98	3.95	92.78	1	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	6074759	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL1743303	1122123	CHEMBL1743303	1122123	DIIODOTHYRONINE	di-iodothyronine (T2)	525.08	3.35	92.78	1	NC(Cc1ccc(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	6074758	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL108475	178286	CHEMBL108475	178286		4-ethylphenol	122.17	1.95	20.23	0	CCc1ccc(O)cc1	6074752	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL14126	13336	CHEMBL14126	13336	BETANAPHTHOL	2-naphthol	144.17	2.55	20.23	0	Oc1ccc2ccccc2c1	6074754	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
CHEMBL261886	430992	CHEMBL261886	430992		2-nitropropane	89.09	0.67	43.14	0	CC(C)[N+](=O)[O-]	6074762	Activity					Activity				Substrate		0	BAO_0000375			738296	CHEMBL1743314	A	Major substrate of human cytosolic sulfotransferase SULT1A1	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	104076	CHEMBL1743291	SINGLE PROTEIN	P50225	Sulfotransferase 1A1	Homo sapiens	9	Protein			56167	CHEMBL1743201			2008			161					
